Id,Aleket_cnt,Comment,aleketlv
348.0,3,,3
349.0,3,,3
350.0,3,,3
351.0,3,,3
352.0,3,,3
353.0,3,,3
354.0,2,,2
355.0,2,,2
356.0,3,,3
357.0,3,,3
358.0,3,,3
359.0,3,,3
360.0,3,,3
361.0,2,,2
362.0,2,,2
363.0,3,,3
364.0,3,,3
365.0,3,,3
366.0,3,,3
367.0,3,,3
368.0,2,,2
369.0,2,,2
370.0,2,,2
371.0,3,,3
372.0,2,,2
373.0,2,,2
374.0,2,,2
375.0,2,,2
376.0,2,,2
377.0,2,,2
378.0,1,,1
379.0,1,,1
380.0,1,,1
381.0,1,,1
382.0,2,,2
383.0,2,,2
384.0,2,,2
385.0,2,,2
386.0,1,,1
387.0,1,,1
388.0,2,,2
389.0,2,,2
390.0,1,,1
391.0,1,,1
392.0,1,,1
393.0,1,,1
394.0,1,,1
395.0,1,,1
396.0,1,,1
397.0,1,,1
398.0,1,,1
399.0,1,,1
400.0,1,,1
401.0,1,,1
402.0,1,,1
403.0,1,,1
404.0,1,,1
405.0,1,,1
406.0,1,,1
407.0,1,,1
408.0,1,,1
409.0,1,,1
410.0,1,,1
411.0,1,,1
412.0,1,,1
413.0,2,,2
414.0,2,,2
415.0,1,,1
416.0,1,,1
417.0,1,,1
418.0,1,,1
419.0,1,,1
420.0,1,,1
421.0,1,,1
422.0,1,,1
423.0,1,,1
424.0,1,,1
425.0,1,,1
426.0,1,,1
427.0,1,,1
428.0,1,,1
429.0,1,,1
430.0,1,,1
431.0,1,,1
432.0,1,,1
433.0,1,,1
434.0,1,,1
435.0,1,,1
436.0,1,,1
437.0,0,,0
438.0,0,,0
439.0,1,,1
440.0,0,,0
441.0,1,,1
442.0,1,,1
443.0,1,,1
444.0,1,,1
445.0,1,,1
446.0,1,,1
447.0,1,,1
448.0,1,,1
449.0,1,,1
450.0,1,,1
451.0,1,,1
452.0,1,,1
453.0,1,,1
454.0,1,,1
455.0,1,,1
456.0,1,,1
457.0,1,,1
458.0,1,,1
459.0,1,,1
460.0,1,,1
461.0,1,,1
462.0,1,,1
463.0,1,,1
464.0,1,,1
465.0,0,,0
466.0,1,,1
467.0,1,,1
468.0,1,,1
469.0,1,,1
470.0,1,,1
471.0,1,,1
472.0,1,,1
473.0,1,,1
474.0,1,,1
475.0,1,,1
476.0,2,,2
477.0,2,,2
478.0,2,,2
479.0,2,,2
480.0,2,,2
481.0,2,,2
482.0,2,,2
483.0,2,,2
484.0,2,,2
485.0,2,,2
486.0,2,,2
487.0,2,,2
488.0,2,,2
489.0,2,,2
490.0,1,,1
491.0,2,,2
492.0,2,,2
493.0,2,,2
494.0,2,,2
495.0,2,,2
496.0,2,,2
497.0,2,,2
498.0,2,,2
499.0,2,,2
500.0,2,,2
501.0,2,,2
502.0,2,,2
503.0,2,,2
504.0,2,,2
505.0,2,,2
506.0,2,,2
507.0,2,,2
508.0,2,,2
509.0,2,,2
510.0,2,,2
511.0,1,,1
512.0,1,,1
513.0,1,,1
514.0,1,,1
515.0,1,,1
516.0,1,,1
517.0,1,,1
518.0,2,,2
519.0,2,,2
520.0,2,,2
521.0,2,,2
522.0,2,,2
523.0,2,,2
524.0,2,,2
525.0,2,,2
526.0,2,,2
527.0,2,,2
528.0,2,,2
529.0,2,,2
530.0,2,,2
531.0,3,,3
532.0,2,,2
533.0,2,,2
534.0,2,,2
535.0,2,,2
536.0,2,,2
537.0,3,,3
538.0,2,,2
539.0,2,,2
540.0,2,,2
541.0,2,,2
542.0,3,,3
543.0,3,,3
544.0,3,,3
545.0,3,,3
546.0,3,,3
547.0,3,,3
548.0,3,,3
549.0,3,,3
550.0,3,,3
551.0,3,,3
552.0,3,,3
553.0,3,,3
554.0,3,,3
555.0,3,,3
556.0,3,,3
557.0,3,,3
558.0,3,,3
559.0,3,,3
560.0,3,,3
561.0,3,,3
562.0,3,,3
563.0,3,,3
564.0,3,,3
565.0,3,,3
566.0,3,,3
567.0,2,,2
568.0,2,,2
569.0,2,,2
570.0,2,,2
571.0,2,,2
572.0,2,,2
573.0,2,,2
574.0,2,,2
575.0,2,,2
576.0,2,,2
577.0,2,,2
578.0,2,,2
579.0,3,,3
581.0,3,,3
582.0,2,,2
583.0,2,,2
584.0,2,,2
585.0,2,,2
586.0,2,,2
587.0,2,,2
588.0,2,,2
589.0,3,,3
590.0,3,,3
591.0,3,,3
592.0,2,,2
593.0,3,,3
594.0,2,,2
595.0,2,,2
596.0,2,,2
597.0,2,,2
598.0,2,,2
599.0,2,,2
600.0,3,,3
601.0,2,,2
602.0,2,,2
603.0,2,,2
604.0,2,,2
605.0,2,,2
606.0,2,,2
607.0,2,,2
608.0,2,,2
609.0,2,,2
610.0,1,,1
611.0,1,,1
612.0,1,,1
613.0,1,,1
614.0,1,,1
615.0,2,,2
616.0,2,,2
617.0,1,,1
618.0,1,,1
619.0,1,,1
620.0,1,,1
621.0,1,,1
622.0,2,,2
623.0,1,,1
624.0,2,,2
625.0,2,,2
626.0,2,,2
627.0,2,,2
628.0,2,,2
629.0,2,,2
630.0,2,,2
631.0,2,,2
632.0,2,,2
633.0,2,,2
634.0,2,,2
635.0,2,,2
636.0,2,,2
637.0,2,,2
638.0,2,,2
639.0,2,,2
640.0,2,,2
641.0,2,,2
642.0,2,,2
643.0,1,,1
644.0,1,,1
645.0,1,,1
646.0,1,,1
647.0,1,,1
648.0,1,,1
649.0,1,,1
650.0,1,,1
651.0,1,,1
652.0,1,,1
653.0,1,,1
654.0,1,,1
655.0,1,,1
656.0,1,,1
657.0,1,,1
658.0,1,,1
659.0,1,,1
660.0,1,,1
661.0,2,,2
662.0,2,,2
663.0,2,,2
664.0,2,,2
665.0,1,,1
666.0,1,,1
667.0,1,,1
668.0,1,,1
669.0,1,,1
670.0,1,,1
671.0,1,,1
672.0,1,,1
673.0,1,,1
674.0,1,,1
675.0,1,,1
676.0,1,,1
677.0,1,,1
678.0,1,,1
679.0,1,,1
680.0,1,,1
681.0,1,,1
682.0,1,,1
683.0,1,,1
684.0,1,,1
685.0,1,,1
686.0,1,,1
687.0,1,,1
688.0,1,,1
689.0,1,,1
690.0,1,,1
691.0,1,,1
692.0,1,,1
693.0,1,,1
694.0,1,,1
695.0,1,,1
696.0,1,,1
697.0,1,,1
698.0,1,,1
699.0,1,,1
700.0,1,,1
701.0,1,,1
702.0,1,,1
703.0,1,,1
704.0,1,,1
705.0,1,,1
706.0,1,,1
707.0,1,,1
708.0,1,,1
709.0,1,,1
710.0,1,,1
711.0,1,,1
712.0,1,,1
713.0,0,,0
714.0,1,,1
715.0,1,,1
716.0,1,,1
717.0,1,,1
718.0,1,,1
719.0,1,,1
720.0,1,,1
721.0,1,,1
722.0,1,,1
723.0,1,,1
724.0,1,,1
725.0,1,,1
726.0,1,,1
727.0,1,,1
728.0,1,,1
729.0,1,,1
730.0,1,,1
731.0,1,,1
732.0,1,,1
733.0,1,,1
734.0,1,,1
735.0,1,,1
736.0,1,,1
737.0,1,,1
738.0,1,,1
739.0,1,,1
740.0,1,,1
741.0,1,,1
742.0,1,,1
743.0,1,,1
744.0,1,,1
745.0,1,,1
746.0,1,,1
747.0,1,,1
748.0,1,,1
749.0,1,,1
750.0,1,,1
751.0,1,,1
752.0,1,,1
753.0,1,,1
754.0,0,,0
755.0,1,Allmust 0 flowers,1
756.0,1,,1
757.0,0,,0
758.0,1,,1
759.0,1,,1
760.0,1,,1
761.0,1,,1
762.0,1,,1
763.0,1,,1
764.0,1,,1
765.0,1,,1
766.0,1,,1
767.0,1,,1
768.0,1,,1
769.0,1,,1
770.0,0,,0
771.0,1,,1
772.0,1,,1
773.0,1,,1
774.0,1,,1
775.0,2,,2
776.0,1,,1
777.0,1,,1
778.0,1,,1
779.0,1,,1
780.0,1,,1
781.0,1,,1
782.0,1,,1
783.0,1,,1
784.0,1,,1
785.0,1,,1
786.0,1,,1
787.0,1,,1
788.0,1,,1
789.0,1,,1
790.0,1,,1
791.0,1,,1
792.0,1,,1
793.0,1,,1
794.0,1,,1
795.0,1,,1
796.0,1,,1
797.0,1,,1
799.0,0,,0
800.0,0,,0
801.0,0,,0
802.0,0,,0
803.0,0,,0
804.0,0,,0
805.0,1,,1
806.0,1,,1
807.0,0,,0
808.0,1,,1
809.0,1,,1
810.0,1,,1
811.0,1,,1
812.0,0,,0
813.0,1,,1
814.0,0,,0
815.0,0,,0
816.0,0,,0
817.0,0,,0
818.0,0,,0
819.0,0,,0
820.0,0,,0
821.0,0,,0
822.0,0,,0
823.0,1,,1
824.0,0,,0
825.0,0,,0
826.0,0,,0
827.0,0,,0
828.0,0,,0
829.0,0,,0
830.0,0,,0
831.0,0,,0
832.0,0,,0
833.0,0,,0
834.0,0,,0
835.0,0,,0
836.0,0,,0
837.0,0,,0
838.0,0,,0
839.0,0,,0
840.0,0,,0
841.0,0,,0
842.0,0,,0
843.0,0,,0
844.0,0,,0
845.0,0,,0
846.0,0,,0
847.0,0,,0
848.0,0,,0
849.0,0,,0
850.0,1,Allmust 0 flowers,1
851.0,0,,0
852.0,0,,0
853.0,0,,0
854.0,0,,0
855.0,0,,0
856.0,1,,1
857.0,1,,1
858.0,0,,0
859.0,1,,1
860.0,1,,1
861.0,1,,1
862.0,1,,1
863.0,0,,0
864.0,0,,0
865.0,0,,0
866.0,0,,0
867.0,0,,0
868.0,0,,0
869.0,0,,0
870.0,0,,0
871.0,0,,0
872.0,0,,0
873.0,0,,0
874.0,0,,0
875.0,0,,0
876.0,1,,1
877.0,1,,1
878.0,1,,1
879.0,0,,0
880.0,0,,0
881.0,0,,0
882.0,0,,0
883.0,0,,0
884.0,0,,0
885.0,0,,0
886.0,0,,0
887.0,0,,0
888.0,0,,0
889.0,0,,0
890.0,0,,0
891.0,0,,0
892.0,0,,0
893.0,0,,0
894.0,0,,0
895.0,0,,0
896.0,0,,0
897.0,0,,0
898.0,0,,0
899.0,0,,0
900.0,0,,0
901.0,0,,0
902.0,0,,0
903.0,0,,0
904.0,0,,0
905.0,0,,0
906.0,0,,0
907.0,0,,0
908.0,0,,0
