_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,Aleket_cnt,attribute,row
6,,25525,05/25/2025 07:34:51.000 GMT+03:00,33.184479437,35.58443201,2,,7
7,,25525,05/25/2025 07:40:58.000 GMT+03:00,33.184145442,35.584230692,2,,7
8,,25525,05/25/2025 07:44:28.000 GMT+03:00,33.183669777,35.58394438,1,,7
9,,25525,05/25/2025 07:54:05.000 GMT+03:00,33.183883143,35.58412519,1,,8
10,,25525,05/25/2025 08:06:42.000 GMT+03:00,33.184413495,35.58448182,2,2plants,11
11,,25525,05/25/2025 08:11:44.000 GMT+03:00,33.183620817,35.584023483,2,3 pl,11
12,,25525,05/25/2025 08:13:19.000 GMT+03:00,33.1834244,35.583893417,2,1p offgrid,11
13,,25525,05/25/2025 08:25:30.000 GMT+03:00,33.183165767,35.583828967,1,1p,14
14,,25525,05/25/2025 08:27:51.000 GMT+03:00,33.183641233,35.5841141,2,1p,14
15,,25525,05/25/2025 08:33:54.000 GMT+03:00,33.1846919,35.5847407,1,1p offg,16
16,,25525,05/25/2025 08:34:44.000 GMT+03:00,33.184757967,35.584767533,1,1p,15
17,,25525,05/25/2025 08:42:08.000 GMT+03:00,33.184214983,35.584476633,1,1p,17
18,,25525,05/25/2025 08:43:13.000 GMT+03:00,33.184216017,35.584504617,1,1p,18
19,,25525,05/25/2025 08:44:25.000 GMT+03:00,33.1840512,35.584385383,2,1p,18
20,,25525,05/25/2025 08:46:22.000 GMT+03:00,33.183722733,35.584171067,1,1p,17
21,,25525,05/25/2025 08:47:13.000 GMT+03:00,33.18356195,35.584085233,2,1p,17
22,,25525,05/25/2025 08:48:35.000 GMT+03:00,33.183546333,35.584115833,1,1p,18
23,,25525,05/25/2025 08:49:27.000 GMT+03:00,33.183410683,35.584038067,1,1p og,19
