Idpocket,Id,Aleket_cnt,Comments
,2.0,1,
,3.0,1,
,4.0,1,
,5.0,1,
,6.0,2,Allot in first line
,7.0,2,Allot in first lines
,8.0,2,Allot in first lines
,9.0,2,Allot in first lines
,10.0,2,Allot in first lines
,11.0,2,Allot in first lines
,12.0,3,
,13.0,3,
,14.0,2,
,15.0,2,
,16.0,1,
,17.0,1,
,18.0,2,
,19.0,2,
,20.0,1,
,21.0,1,
,22.0,1,
,23.0,1,
,26.0,1,
,27.0,1,Allot in first lines
,28.0,1,
,29.0,1,
,30.0,1,
,31.0,1,
,32.0,1,
,33.0,1,Allot in first lines
,34.0,1,Allot in first lines
,35.0,1,
,36.0,1,
,37.0,1,
,38.0,1,
,39.0,3,
,40.0,3,
,41.0,3,
,43.0,2,
,44.0,2,
,45.0,1,
,46.0,1,
,47.0,1,
,49.0,1,
,50.0,1,
,51.0,2,
,52.0,1,
,53.0,1,
,54.0,1,
,55.0,1,
,56.0,1,
,57.0,1,
,58.0,1,
,59.0,2,
,60.0,3,
,61.0,3,
,62.0,2,
,63.0,2,
,64.0,1,
,65.0,1,
,66.0,1,
,67.0,2,
,68.0,3,
,69.0,3,
,70.0,2,
,71.0,2,
,73.0,3,
,74.0,2,
,76.0,3,
,77.0,2,
,78.0,2,
,79.0,3,
,80.0,2,
,81.0,2,
,82.0,1,
,83.0,1,
,84.0,1,
,85.0,1,
,86.0,2,
,87.0,1,
,88.0,1,
,89.0,1,
,90.0,1,
,91.0,2,
,92.0,2,
,93.0,1,
,94.0,1,
,95.0,1,
,96.0,2,
,97.0,2,
,98.0,2,
,98.0,2,
,99.0,2,
,100.0,3,
,101.0,3,
,102.0,3,
,103.0,2,
,104.0,2,
,105.0,2,
,106.0,2,
,107.0,2,
,108.0,2,
,109.0,1,
,110.0,2,
,111.0,1,
,112.0,1,
,113.0,1,
,114.0,2,
,115.0,2,
,116.0,3,
,117.0,3,
,118.0,3,
,119.0,3,
,120.0,3,
,121.0,3,
,122.0,3,
,124.0,3,
,125.0,3,
,126.0,3,
,127.0,3,
,128.0,3,
,129.0,3,
,130.0,3,
,131.0,3,
,132.0,3,
,133.0,3,
,134.0,3,
,135.0,3,
,136.0,3,
,137.0,2,
,138.0,2,
,139.0,3,
,140.0,3,
,141.0,3,
,142.0,2,
,143.0,3,
,144.0,3,
,145.0,3,
,146.0,3,
,147.0,3,
,148.0,3,
,149.0,3,
,150.0,3,
,151.0,3,
,152.0,3,
,153.0,3,
,154.0,3,
,155.0,3,
,156.0,3,
,157.0,2,
,158.0,2,
,159.0,2,
,160.0,1,
,161.0,1,
,162.0,1,
,163.0,1,
,163.0,1,
,164.0,1,
,165.0,1,
,166.0,1,
,167.0,1,
,168.0,1,
,169.0,1,
,170.0,1,
,171.0,2,
,172.0,2,Vadi cross
,173.0,1,
,174.0,2,
,176.0,1,
,177.0,1,
,178.0,1,
,179.0,1,
,180.0,1,
,181.0,1,
,182.0,1,
,183.0,1,
,185.0,1,
,186.0,1,
,187.0,1,
,188.0,1,
,189.0,1,
,190.0,1,
,191.0,2,
,192.0,2,
,193.0,1,
,194.0,1,
,195.0,1,
,196.0,1,
,198.0,1,
,199.0,1,
,200.0,1,
,201.0,1,
,202.0,1,
,203.0,1,
,204.0,1,
,205.0,1,
,206.0,1,
,207.0,1,
,208.0,1,
,209.0,1,
,210.0,1,
,211.0,1,
,212.0,1,
,213.0,1,
,214.0,1,
,215.0,1,
,216.0,1,
,217.0,1,Allmust 0 flowers
,218.0,1,
,219.0,1,
,220.0,1,
,221.0,1,
,222.0,1,
,223.0,1,
,224.0,1,
,225.0,1,
,226.0,1,
,227.0,1,
,228.0,0,
,229.0,0,
,230.0,1,
,231.0,0,
,232.0,0,
,233.0,0,
,235.0,0,
,236.0,0,
,237.0,0,
,238.0,0,
,240.0,1,
,241.0,1,
,242.0,1,
,243.0,1,
,244.0,1,
,245.0,1,
,246.0,1,
,247.0,1,
,248.0,1,
,249.0,1,
,250.0,1,
,251.0,1,
,252.0,0,
,253.0,0,
,254.0,0,
,255.0,0,
,256.0,0,
,257.0,0,
,258.0,0,
,259.0,0,
,260.0,0,
,261.0,0,
,262.0,0,
,263.0,1,
,264.0,1,
,265.0,1,
,266.0,1,
,267.0,1,
,268.0,0,
,269.0,0,
,270.0,0,
,271.0,1,Cross vadi
,272.0,1,
,274.0,0,
,275.0,0,
,276.0,0,
,277.0,0,
,278.0,1,
,279.0,1,
,281.0,0,
,282.0,0,
,283.0,1,
,284.0,1,
