Od,Aleket_cnt,Commends
448.0,2,
449.0,2,Include pamp
450.0,2,
451.0,2,
452.0,2,
453.0,2,
454.0,2,
455.0,3,
456.0,3,
457.0,2,
458.0,3,
459.0,2,Include water lines
460.0,2,
461.0,2,
462.0,2,
463.0,2,
464.0,3,
465.0,3,
466.0,2,
467.0,3,
468.0,3,
469.0,3,
470.0,3,
471.0,3,
472.0,3,Include water lines
473.0,3,
474.0,3,
475.0,2,
476.0,2,
477.0,2,
478.0,2,
479.0,2,
480.0,2,
481.0,2,
482.0,2,
483.0,2,
484.0,2,
485.0,2,
486.0,2,
487.0,2,
488.0,2,
489.0,2,
490.0,2,
491.0,2,
492.0,2,
493.0,2,
494.0,2,
495.0,2,
496.0,2,
497.0,2,
498.0,2,
499.0,2,
500.0,2,
501.0,2,
502.0,2,
503.0,2,
504.0,2,
505.0,2,
506.0,2,
507.0,2,Include water lines
508.0,2,
509.0,2,
510.0,3,
511.0,2,
512.0,2,
513.0,2,
514.0,3,
515.0,2,
516.0,2,
517.0,3,
518.0,3,
519.0,2,Include water lines
520.0,3,
521.0,3,
522.0,3,
523.0,3,
524.0,3,
525.0,3,
526.0,3,
527.0,3,
528.0,3,
529.0,3,
530.0,3,
531.0,2,
532.0,2,
533.0,3,
534.0,3,
535.0,3,
536.0,3,
537.0,3,
538.0,3,
539.0,2,
540.0,2,Include water lines
541.0,2,
542.0,2,
543.0,2,
544.0,2,
545.0,2,
546.0,2,
547.0,2,
548.0,2,
549.0,2,
550.0,3,
551.0,3,
552.0,3,Include water lines
553.0,2,
554.0,2,
555.0,2,
556.0,3,
557.0,2,
558.0,2,
559.0,2,
560.0,3,
561.0,3,
562.0,3,
563.0,2,Include water lines
564.0,2,
565.0,3,
566.0,3,
567.0,2,
568.0,2,
569.0,2,
570.0,3,
571.0,3,
572.0,2,
573.0,3,
574.0,2,
575.0,2,
576.0,2,
577.0,1,Only east side
578.0,1,
579.0,2,
580.0,2,
581.0,2,
582.0,2,
583.0,2,
584.0,2,
585.0,2,
586.0,2,
587.0,2,
588.0,2,Include water pumps
589.0,2,
590.0,2,
591.0,2,
592.0,2,
593.0,2,
594.0,2,
595.0,2,
596.0,2,
597.0,2,
598.0,2,
599.0,1,
600.0,2,
601.0,2,
602.0,3,
603.0,3,
604.0,2,
605.0,2,
606.0,2,
607.0,2,
608.0,1,
609.0,2,Include pamp
610.0,2,
611.0,2,
612.0,2,
613.0,2,
614.0,1,
615.0,2,
616.0,2,
617.0,2,
618.0,2,
619.0,2,
