_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_ORTHO_HT,_FIX_ID,_H_ACC,_V_ACC,_SPEED,_BEARING,Aleket_cnt
48,,0,07/16/2025 07:50:02.000 GMT+03:00,33.098498897,35.576882382,96.517,0.0,4.0,0.01,0.01,0.015,306.658,0
49,,0,07/16/2025 07:50:21.000 GMT+03:00,33.098616458,35.576869635,96.686,0.0,4.0,0.01,0.01,0.086,338.159,0
50,,0,07/16/2025 07:50:51.000 GMT+03:00,33.098837315,35.576848973,96.737,0.0,4.0,0.01,0.01,0.012,318.883,0
51,,0,07/16/2025 07:52:21.000 GMT+03:00,33.099008253,35.576831582,96.817,0.0,4.0,0.01,0.01,0.008,314.777,0
52,,0,07/16/2025 07:52:55.000 GMT+03:00,33.099185443,35.576813168,96.853,0.0,4.0,0.01,0.012,0.055,287.013,0
53,,0,07/16/2025 07:53:24.000 GMT+03:00,33.099371793,35.576794592,96.924,0.0,4.0,0.01,0.012,0.115,278.373,0
54,,0,07/16/2025 07:53:48.000 GMT+03:00,33.099550632,35.576776335,97.166,0.0,5.0,0.072,0.092,0.088,316.12,0
55,,0,07/16/2025 07:54:40.000 GMT+03:00,33.09973404,35.576761097,96.856,0.0,4.0,0.01,0.01,0.01,340.988,0
56,,0,07/16/2025 07:55:08.000 GMT+03:00,33.099926317,35.576744587,96.73,0.0,4.0,0.01,0.01,0.026,12.34,0
57,,0,07/16/2025 07:55:31.000 GMT+03:00,33.100109818,35.576728075,96.539,0.0,4.0,0.01,0.013,0.04,31.226,0
58,,0,07/16/2025 07:55:52.000 GMT+03:00,33.100276682,35.576706733,96.413,0.0,4.0,0.01,0.01,0.224,313.767,0
59,,0,07/16/2025 07:56:19.000 GMT+03:00,33.10031364,35.576957607,95.296,0.0,4.0,0.01,0.02,0.016,173.09,0
60,,0,07/16/2025 07:56:40.000 GMT+03:00,33.100123225,35.57697218,95.524,0.0,4.0,0.01,0.01,0.11,221.748,0
61,,0,07/16/2025 07:57:01.000 GMT+03:00,33.099931235,35.576995855,95.857,0.0,4.0,0.01,0.011,0.033,107.074,0
62,,0,07/16/2025 07:57:22.000 GMT+03:00,33.099743317,35.577012432,96.0,0.0,4.0,0.01,0.01,0.02,140.737,0
63,,0,07/16/2025 07:57:49.000 GMT+03:00,33.099561142,35.577027195,96.433,0.0,4.0,0.01,0.01,0.012,235.184,0
64,,0,07/16/2025 07:58:18.000 GMT+03:00,33.099275697,35.577058383,96.181,0.0,4.0,0.01,0.01,0.134,183.564,0
65,,0,07/16/2025 07:58:51.000 GMT+03:00,33.098975005,35.577084983,96.064,0.0,4.0,0.01,0.01,0.051,228.131,0
66,,0,07/16/2025 07:59:27.000 GMT+03:00,33.098744428,35.577108082,96.071,0.0,4.0,0.01,0.01,0.015,215.427,0
67,,0,07/16/2025 08:00:20.000 GMT+03:00,33.098484332,35.577138413,95.966,0.0,4.0,0.01,0.01,0.091,147.033,0
68,,0,07/16/2025 08:00:46.000 GMT+03:00,33.098276917,35.5771605,95.757,0.0,4.0,0.01,0.012,0.038,154.5,0
69,,0,07/16/2025 08:01:16.000 GMT+03:00,33.098036278,35.577180793,95.727,0.0,4.0,0.01,0.013,0.015,238.645,0
70,,0,07/16/2025 08:01:37.000 GMT+03:00,33.097858617,35.577201523,95.874,0.0,4.0,0.01,0.01,0.144,169.975,0
71,,0,07/16/2025 08:01:55.000 GMT+03:00,33.097718262,35.577214893,95.893,0.0,4.0,0.01,0.012,0.024,188.771,0
72,,0,07/16/2025 08:02:25.000 GMT+03:00,33.097477292,35.57724163,95.963,0.0,4.0,0.01,0.01,0.04,95.972,0
73,,0,07/16/2025 08:02:48.000 GMT+03:00,33.09730166,35.57725943,96.041,0.0,4.0,0.01,0.013,0.039,82.942,0
74,,0,07/16/2025 08:03:11.000 GMT+03:00,33.097116962,35.577277272,96.076,0.0,4.0,0.01,0.01,0.029,89.271,0
75,,0,07/16/2025 08:03:33.000 GMT+03:00,33.096934172,35.577292353,96.333,0.0,4.0,0.01,0.015,0.347,207.28,0
76,,0,07/16/2025 08:10:10.000 GMT+03:00,33.096877447,35.577306732,96.682,0.0,4.0,0.01,0.012,0.02,178.442,0
77,,0,07/16/2025 08:11:09.000 GMT+03:00,33.0970489,35.577656237,95.738,0.0,4.0,0.01,0.014,0.012,326.393,0
78,,0,07/16/2025 08:11:40.000 GMT+03:00,33.097286778,35.577637552,95.54,0.0,4.0,0.01,0.014,0.014,6.919,0
79,,0,07/16/2025 08:12:11.000 GMT+03:00,33.0974776,35.577619223,95.378,0.0,4.0,0.01,0.01,0.042,50.347,0
80,,0,07/16/2025 08:12:37.000 GMT+03:00,33.097664838,35.577596385,95.341,0.0,4.0,0.01,0.01,0.105,346.411,0
81,,0,07/16/2025 08:13:03.000 GMT+03:00,33.09785829,35.577576578,95.261,0.0,4.0,0.01,0.01,0.056,279.578,0
82,,0,07/16/2025 08:13:29.000 GMT+03:00,33.098049057,35.577562423,95.09,0.0,4.0,0.01,0.011,0.024,54.345,0
83,,0,07/16/2025 08:13:53.000 GMT+03:00,33.098242278,35.577539505,95.043,0.0,4.0,0.01,0.01,0.046,344.875,0
84,,0,07/16/2025 08:14:16.000 GMT+03:00,33.09842877,35.577524257,95.107,0.0,4.0,0.01,0.01,0.092,34.249,0
85,,0,07/16/2025 08:15:01.000 GMT+03:00,33.098607723,35.577504287,95.227,0.0,4.0,0.01,0.01,0.01,330.331,0
86,,0,07/16/2025 08:15:31.000 GMT+03:00,33.098815472,35.577482423,95.221,0.0,4.0,0.01,0.01,0.027,271.678,0
87,,0,07/16/2025 08:15:55.000 GMT+03:00,33.09899643,35.577465307,95.256,0.0,4.0,0.01,0.011,0.082,17.838,0
88,,0,07/16/2025 08:16:21.000 GMT+03:00,33.099169975,35.577447445,95.374,0.0,4.0,0.01,0.01,0.016,336.234,0
89,,0,07/16/2025 08:16:51.000 GMT+03:00,33.099345562,35.577428377,95.347,0.0,4.0,0.01,0.017,0.035,298.663,0
90,,0,07/16/2025 08:17:17.000 GMT+03:00,33.099530178,35.57741221,95.516,0.0,4.0,0.01,0.012,0.154,355.778,0
91,,0,07/16/2025 08:17:41.000 GMT+03:00,33.099726057,35.577392215,95.146,0.0,4.0,0.01,0.01,0.078,339.128,0
92,,0,07/16/2025 08:18:08.000 GMT+03:00,33.099905232,35.577377353,94.713,0.0,4.0,0.01,0.01,0.02,38.429,0
93,,0,07/16/2025 08:18:30.000 GMT+03:00,33.100106143,35.577355085,93.985,0.0,4.0,0.01,0.01,0.076,353.514,0
94,,0,07/16/2025 08:18:53.000 GMT+03:00,33.10030176,35.577333487,93.251,0.0,4.0,0.01,0.01,0.024,338.679,0
95,,0,07/16/2025 08:20:29.000 GMT+03:00,33.099462753,35.57767265,94.804,0.0,4.0,0.01,0.014,0.004,143.71,0
96,,0,07/16/2025 08:20:59.000 GMT+03:00,33.09921527,35.577696565,94.696,0.0,4.0,0.021,0.034,0.049,144.474,0
97,,0,07/16/2025 08:23:27.000 GMT+03:00,33.099022885,35.577716968,94.619,0.0,4.0,0.01,0.013,0.042,159.374,0
98,,0,07/16/2025 08:23:50.000 GMT+03:00,33.09884617,35.577736715,94.655,0.0,4.0,0.01,0.016,0.093,166.909,0
99,,0,07/16/2025 08:24:24.000 GMT+03:00,33.098846107,35.577736058,94.49,0.0,4.0,0.01,0.01,0.095,162.558,0
100,,0,07/16/2025 08:24:46.000 GMT+03:00,33.098687063,35.577751547,94.354,0.0,4.0,0.01,0.016,0.199,216.063,0
101,,0,07/16/2025 08:25:09.000 GMT+03:00,33.098509217,35.577765212,94.361,0.0,4.0,0.01,0.013,0.099,214.602,0
102,,0,07/16/2025 08:25:35.000 GMT+03:00,33.098325292,35.577782763,94.456,0.0,4.0,0.01,0.011,0.016,234.974,0
103,,0,07/16/2025 08:25:59.000 GMT+03:00,33.098149257,35.577805113,94.611,0.0,4.0,0.01,0.01,0.033,104.633,0
