Id,Aleket_cnt,Comments,aleketlv
382,2,,2.0
383,2,,2.0
384,2,,2.0
385,2,,2.0
386,2,,2.0
387,2,,2.0
388,2,,2.0
389,3,,3.0
390,2,,2.0
391,2,,2.0
392,2,,2.0
393,2,,2.0
394,3,,3.0
395,3,,3.0
396,3,,3.0
397,3,,3.0
398,3,Include water lines,3.0
399,2,,2.0
400,3,,3.0
401,2,Allmust 400 flowers,2.0
402,2,,2.0
403,2,,2.0
404,2,,2.0
405,2,,2.0
406,2,Allmust 400 flowers,2.0
407,2,,2.0
408,2,,2.0
409,3,,3.0
410,2,,2.0
411,2,,2.0
412,2,,2.0
413,2,Allmust 400 flowers,2.0
414,2,,2.0
415,2,,2.0
416,2,,2.0
417,2,,2.0
418,2,,2.0
419,2,Include water lines,2.0
420,2,,2.0
421,2,,2.0
422,2,,2.0
423,2,,2.0
424,3,,3.0
425,3,,3.0
426,3,,3.0
427,3,,3.0
428,3,,3.0
429,3,,3.0
430,3,,3.0
431,3,,3.0
432,3,,3.0
433,3,,3.0
434,3,,3.0
435,3,,3.0
436,3,,3.0
437,3,,3.0
438,3,,3.0
439,3,,3.0
440,3,,3.0
441,2,Wet land,2.0
442,1,Wet lend,1.0
443,2,Wet lend,2.0
444,3,,3.0
445,3,,3.0
446,3,,3.0
447,3,,3.0
448,3,,3.0
449,3,,3.0
450,3,,3.0
451,3,,3.0
452,3,,3.0
453,3,,3.0
454,3,,3.0
455,3,,3.0
456,3,,3.0
457,3,,3.0
458,3,,3.0
459,3,,3.0
460,3,,3.0
461,3,,3.0
462,3,,3.0
463,3,,3.0
464,3,,3.0
465,3,,3.0
466,3,Include water lines,3.0
467,3,,3.0
468,3,,3.0
469,3,,3.0
470,3,,3.0
471,3,,3.0
472,3,,3.0
473,3,,3.0
474,3,,3.0
475,3,,3.0
476,3,,3.0
477,3,,3.0
478,3,,3.0
479,3,,3.0
480,3,,3.0
481,3,,3.0
482,3,,3.0
483,3,,3.0
484,3,,3.0
485,3,,3.0
486,3,,3.0
487,3,Include water lines,3.0
488,3,,3.0
489,3,,3.0
490,3,,3.0
491,3,,3.0
492,3,,3.0
493,3,,3.0
494,3,,3.0
495,3,,3.0
496,3,,3.0
497,3,,3.0
498,3,,3.0
499,3,,3.0
500,3,,3.0
501,3,,3.0
502,3,,3.0
503,3,,3.0
504,3,,3.0
505,3,,3.0
506,3,,3.0
507,3,,3.0
508,3,,3.0
509,3,,3.0
510,3,,3.0
511,3,,3.0
512,2,Wet land.include water lines,2.0
513,2,,2.0
514,3,,3.0
515,3,,3.0
516,3,,3.0
517,3,,3.0
518,3,,3.0
519,3,,3.0
520,3,,3.0
521,3,,3.0
522,3,,3.0
523,3,,3.0
525,3,,3.0
526,3,,3.0
527,3,,3.0
528,3,,3.0
529,3,,3.0
530,3,,3.0
531,3,,3.0
532,3,,3.0
533,3,,3.0
534,3,,3.0
535,3,,3.0
537,3,,3.0
538,3,,3.0
539,3,,3.0
540,3,,3.0
541,3,,3.0
