_ID,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_24_7_25,Remarks,Aleket_cnt
154,07/26/2025 11:51:21.000 GMT+03:00,33.182894137,35.647950195,101.765,0.0,,0
157,07/26/2025 11:55:11.000 GMT+03:00,33.183120582,35.648181857,101.215,0.0,,0
158,07/26/2025 11:55:42.000 GMT+03:00,33.18298909,35.648388398,101.19,0.0,,0
159,07/26/2025 11:56:09.000 GMT+03:00,33.182864968,35.64858365,101.283,0.0,,0
160,07/26/2025 11:56:53.000 GMT+03:00,33.18274355,35.64877643,101.223,0.0,,0
161,07/26/2025 11:57:25.000 GMT+03:00,33.182622172,35.648970698,101.221,0.0,,0
162,07/26/2025 11:57:54.000 GMT+03:00,33.182497777,35.649166387,101.305,0.0,,0
163,07/26/2025 11:58:25.000 GMT+03:00,33.182373418,35.649362452,101.31,0.0,,0
164,07/26/2025 11:58:56.000 GMT+03:00,33.182256097,35.649547032,101.415,0.0,,0
165,07/26/2025 11:59:43.000 GMT+03:00,33.182130955,35.649739023,101.24,0.0,,0
166,07/26/2025 12:00:14.000 GMT+03:00,33.182021553,35.649911993,101.248,0.0,,0
167,07/26/2025 12:00:46.000 GMT+03:00,33.18190385,35.650101672,101.178,0.0,,0
168,07/26/2025 12:01:18.000 GMT+03:00,33.181789018,35.65028429,101.04,0.0,,0
169,07/26/2025 12:01:50.000 GMT+03:00,33.181668052,35.650463733,101.477,0.0,,0
170,07/26/2025 12:02:22.000 GMT+03:00,33.181538367,35.650667985,102.323,0.0,,0
171,07/26/2025 12:03:02.000 GMT+03:00,33.18143142,35.65085422,100.769,0.0,,0
172,07/26/2025 12:03:34.000 GMT+03:00,33.181308038,35.651047502,100.319,0.0,,0
173,07/26/2025 12:04:08.000 GMT+03:00,33.181189042,35.651238718,99.976,0.0,,0
174,07/26/2025 12:04:40.000 GMT+03:00,33.181072532,35.651423658,99.845,0.0,,0
175,07/26/2025 12:05:11.000 GMT+03:00,33.180960077,35.651608848,99.98,0.0,,0
176,07/26/2025 12:06:05.000 GMT+03:00,33.180809983,35.651843245,100.037,0.0,,0
177,07/26/2025 12:06:37.000 GMT+03:00,33.180686993,35.65203786,99.627,0.0,,0
178,07/26/2025 12:07:08.000 GMT+03:00,33.180567948,35.65221626,99.484,0.0,,0
179,07/26/2025 12:07:40.000 GMT+03:00,33.18045911,35.652396843,99.344,0.0,,0
182,07/26/2025 12:21:59.000 GMT+03:00,33.180760348,35.652542457,102.47,0.0,,0
183,07/26/2025 12:22:33.000 GMT+03:00,33.180884955,35.652343763,103.376,0.0,,0
184,07/26/2025 12:23:04.000 GMT+03:00,33.181004903,35.65215202,101.46,0.0,,0
185,07/26/2025 12:23:33.000 GMT+03:00,33.181121335,35.651982573,102.013,0.0,,0
186,07/26/2025 12:24:02.000 GMT+03:00,33.181245873,35.651783448,100.729,0.0,,0
187,07/26/2025 12:24:34.000 GMT+03:00,33.181373413,35.651597775,100.459,0.0,,0
188,07/26/2025 12:25:03.000 GMT+03:00,33.181513763,35.65139361,99.176,0.0,,0
189,07/26/2025 12:25:34.000 GMT+03:00,33.18162618,35.651199363,99.812,0.0,,0
190,07/26/2025 12:26:04.000 GMT+03:00,33.181739423,35.651013655,99.965,0.0,,0
191,07/26/2025 12:26:33.000 GMT+03:00,33.181852442,35.650837822,99.206,0.0,,0
192,07/26/2025 12:27:35.000 GMT+03:00,33.181959083,35.650649267,99.299,0.0,,0
193,07/26/2025 12:28:10.000 GMT+03:00,33.182074418,35.650451203,99.634,0.0,,0
194,07/26/2025 12:28:39.000 GMT+03:00,33.182207115,35.65025835,99.544,0.0,,0
195,07/26/2025 12:29:07.000 GMT+03:00,33.182332633,35.650068448,98.988,0.0,,0
196,07/26/2025 12:29:38.000 GMT+03:00,33.182442993,35.649882618,98.844,0.0,,0
197,07/26/2025 12:30:06.000 GMT+03:00,33.1825621,35.649703025,99.107,0.0,,0
198,07/26/2025 12:30:38.000 GMT+03:00,33.182678378,35.64950777,99.827,0.0,,0
199,07/26/2025 12:31:01.000 GMT+03:00,33.182756597,35.649380993,100.149,0.0,,0
200,07/26/2025 12:31:46.000 GMT+03:00,33.182880727,35.649188558,100.077,0.0,,0
201,07/26/2025 12:32:16.000 GMT+03:00,33.182989162,35.649013893,100.016,0.0,,0
202,07/26/2025 12:32:47.000 GMT+03:00,33.18310608,35.64881411,98.657,0.0,,0
203,07/26/2025 12:33:19.000 GMT+03:00,33.183230052,35.648637258,99.614,0.0,,0
204,07/26/2025 12:33:48.000 GMT+03:00,33.183359972,35.648430262,98.209,0.0,,0
205,07/26/2025 12:34:18.000 GMT+03:00,33.183470272,35.648249548,100.404,0.0,,0
208,07/26/2025 12:36:15.000 GMT+03:00,33.183556827,35.648392923,101.21,0.0,,0
209,07/26/2025 12:36:41.000 GMT+03:00,33.183428702,35.648590062,101.251,0.0,,0
210,07/26/2025 12:37:05.000 GMT+03:00,33.183302347,35.648789107,101.269,0.0,,0
211,07/26/2025 12:37:28.000 GMT+03:00,33.183173603,35.6489789,101.312,0.0,,0
212,07/26/2025 12:37:53.000 GMT+03:00,33.183049247,35.649171125,101.231,0.0,,0
213,07/26/2025 12:38:58.000 GMT+03:00,33.182910023,35.649388257,100.583,0.0,,0
214,07/26/2025 12:39:22.000 GMT+03:00,33.18277982,35.64959059,100.022,0.0,,0
215,07/26/2025 12:39:49.000 GMT+03:00,33.182659608,35.6497815,100.265,0.0,,0
216,07/26/2025 12:40:14.000 GMT+03:00,33.182533202,35.649975508,100.031,0.0,,0
217,07/26/2025 12:40:42.000 GMT+03:00,33.182417515,35.650165957,99.263,0.0,,0
218,07/26/2025 12:41:07.000 GMT+03:00,33.182298422,35.650354845,99.291,0.0,,0
219,07/26/2025 12:41:33.000 GMT+03:00,33.182179658,35.650545982,98.666,0.0,,0
220,07/26/2025 12:41:59.000 GMT+03:00,33.182054285,35.650745645,98.495,0.0,,0
221,07/26/2025 12:42:24.000 GMT+03:00,33.181933725,35.650938585,98.371,0.0,,0
222,07/26/2025 12:42:50.000 GMT+03:00,33.181817082,35.651118473,98.72,0.0,,0
223,07/26/2025 12:43:12.000 GMT+03:00,33.1817002,35.651313457,98.553,0.0,,0
224,07/26/2025 12:43:37.000 GMT+03:00,33.181578687,35.651502988,98.663,0.0,,0
225,07/26/2025 12:44:01.000 GMT+03:00,33.181443195,35.651695435,98.741,0.0,,0
226,07/26/2025 12:44:26.000 GMT+03:00,33.181315008,35.651894563,98.286,0.0,,0
227,07/26/2025 12:44:49.000 GMT+03:00,33.181195577,35.65208738,98.353,0.0,,0
228,07/26/2025 12:45:14.000 GMT+03:00,33.181062562,35.652293578,98.195,0.0,,0
229,07/26/2025 12:45:39.000 GMT+03:00,33.180934392,35.65249763,98.404,0.0,,0
230,07/26/2025 12:46:03.000 GMT+03:00,33.180811273,35.652694937,98.468,0.0,,0
