ObjectID,Speed,Heading,Elevation,Aleket_cnt
288.0,3.333,169.0,21.2,3
289.0,4.926,168.0,21.4,3
290.0,0.129,164.0,21.3,3
291.0,4.074,158.0,21.2,3
292.0,0.296,164.0,21.1,3
293.0,5.259,174.0,21.0,3
294.0,0.555,174.0,20.9,3
295.0,4.926,163.0,20.9,3
296.0,1.426,160.0,20.7,3
297.0,1.222,204.0,20.6,2
298.0,0.296,200.0,20.5,1
299.0,0.185,259.0,20.4,2
300.0,3.278,1.0,20.4,2
301.0,0.314,342.0,20.6,2
302.0,0.111,22.0,20.7,3
303.0,1.185,11.0,20.8,3
304.0,0.5,353.0,20.9,3
305.0,0.203,347.0,20.9,2
306.0,0.148,334.0,21.1,3
307.0,0.5,338.0,21.0,3
308.0,0.444,346.0,21.0,2
309.0,0.648,342.0,21.3,3
310.0,2.981,334.0,21.2,3
311.0,0.24,10.0,21.2,2
312.0,0.24,345.0,21.2,2
313.0,0.963,349.0,21.3,3
314.0,0.481,346.0,21.4,3
315.0,5.055,354.0,21.2,3
316.0,3.203,341.0,21.4,2
317.0,0.129,353.0,21.6,1
318.0,1.944,73.0,21.6,1
319.0,3.685,336.0,21.6,2
320.0,1.574,337.0,21.9,2
321.0,3.666,339.0,22.2,2
322.0,4.426,339.0,22.6,3
323.0,0.425,334.0,22.9,3
324.0,0.629,334.0,23.0,3
325.0,0.407,348.0,23.2,3
326.0,0.925,0.0,23.4,2
327.0,1.0,16.0,23.5,3
328.0,3.592,328.0,23.7,2
329.0,4.704,357.0,23.9,2
330.0,3.481,340.0,24.1,3
331.0,0.351,358.0,24.3,3
332.0,0.333,345.0,24.4,2
333.0,0.203,352.0,24.6,2
334.0,0.611,4.0,24.9,2
335.0,0.592,352.0,25.2,1
336.0,0.259,331.0,25.4,1
337.0,2.426,340.0,25.7,3
338.0,2.222,343.0,25.8,3
339.0,0.111,343.0,25.9,3
340.0,1.666,312.0,26.5,3
341.0,5.018,344.0,27.2,3
342.0,0.24,350.0,27.8,3
343.0,3.981,353.0,28.7,3
344.0,2.648,331.0,29.5,3
345.0,0.5,336.0,30.7,3
346.0,0.981,352.0,31.5,3
347.0,3.24,353.0,32.9,1
348.0,3.907,347.0,33.6,3
349.0,0.5,344.0,35.1,3
350.0,2.129,0.0,36.7,3
351.0,0.0,338.0,38.4,3
352.0,3.389,8.0,39.8,3
353.0,3.648,346.0,40.9,3
354.0,1.24,327.0,42.2,3
355.0,0.259,342.0,43.1,2
