Aleket,Comment,ids,aleketnew
1.0,Allmust 0 flowers,279,1
1.0,,280,1
1.0,,281,1
1.0,,282,1
1.0,,283,1
2.0,,284,2
1.0,,285,1
1.0,,286,1
1.0,,287,1
2.0,,288,2
2.0,,289,2
2.0,,290,2
2.0,,291,2
2.0,,292,2
2.0,,293,2
2.0,,294,2
2.0,,295,2
2.0,,296,2
2.0,,297,2
2.0,Include water lines,298,2
1.0,Allmust 0 flowers,299,1
0.0,,300,0
0.0,,301,0
0.0,,302,0
0.0,,303,0
1.0,Allmust 0 flowers,304,1
0.0,,305,0
0.0,,306,0
0.0,,307,0
0.0,,308,0
0.0,,309,0
0.0,,310,0
1.0,Allmust 0 flowers,311,1
0.0,,312,0
1.0,Allmust 0 flowers,313,1
1.0,Allmust 0 flowers,314,1
0.0,,315,0
0.0,,316,0
0.0,,317,0
0.0,,318,0
1.0,Allmust 0 flowers,319,1
1.0,Allmust 0 flowers,320,1
1.0,,321,1
1.0,,322,1
1.0,Last line,323,1
1.0,,324,1
1.0,Allmust 0 flowers,325,1
1.0,Allmust 0 flowers,326,1
1.0,Allmust 0 flowers,327,1
1.0,Allmust 0 flowers,328,1
1.0,Allmust 0 flowers,329,1
1.0,Allmust 0 flowers,330,1
1.0,Allmust 0 flowers,331,1
1.0,,332,1
1.0,Include water lines,333,1
2.0,,334,2
2.0,,335,2
2.0,,336,2
2.0,,337,2
1.0,,338,1
1.0,,339,1
1.0,,340,1
1.0,,341,1
1.0,Allmust 0 flowers,342,1
1.0,Allmust 0 flowers,343,1
1.0,,344,1
1.0,,345,1
2.0,,346,2
1.0,,347,1
1.0,,348,1
1.0,,349,1
1.0,,350,1
1.0,,351,1
1.0,,352,1
1.0,,353,1
1.0,,354,1
1.0,,355,1
1.0,,356,1
1.0,,357,1
1.0,Allmust 0 flowers,358,1
1.0,Allmust 0 flowers,359,1
1.0,Allmust 0 flowers,360,1
1.0,Allmust 0 flowers,361,1
1.0,,362,1
1.0,Allmust 0 flowers,363,1
1.0,,364,1
1.0,,365,1
2.0,Infection lines riht sides,366,2
1.0,,367,1
1.0,Include water lines,368,1
1.0,Allmust 0 flowers,369,1
0.0,,370,0
1.0,Allmust 0 flowers,371,1
0.0,,372,0
1.0,Allmust 0 flowers,373,1
1.0,Allmust 0 flowers,374,1
1.0,Allmust 0 flowers,375,1
1.0,Allmust 0 flowers,376,1
1.0,Allmust 0 flowers,377,1
1.0,Allmust 0 flowers,378,1
1.0,,379,1
2.0,Infection riht sides,380,2
1.0,,381,1
1.0,,382,1
1.0,Allmust 0 flowers,383,1
0.0,,384,0
1.0,Allmust 0 flowers,385,1
1.0,Allmust 0 flowers,386,1
