_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,aleket
85,,0,07/22/2025 08:29:34.000 GMT+03:00,33.131973595,35.641032565,93.413,0
86,,0,07/22/2025 08:30:13.000 GMT+03:00,33.13214706,35.641084612,93.555,0
87,,0,07/22/2025 08:30:36.000 GMT+03:00,33.132318368,35.641134877,93.607,0
88,,0,07/22/2025 08:31:02.000 GMT+03:00,33.132447467,35.641171288,93.74,0
89,,0,07/22/2025 08:31:34.000 GMT+03:00,33.132677382,35.641240768,93.824,0
90,,0,07/22/2025 08:32:07.000 GMT+03:00,33.13285773,35.641295055,94.018,0
91,,0,07/22/2025 08:32:52.000 GMT+03:00,33.133077455,35.64136293,94.135,0
92,,0,07/22/2025 08:33:23.000 GMT+03:00,33.133241818,35.641410273,94.144,0
93,,0,07/22/2025 08:33:49.000 GMT+03:00,33.133417687,35.641462717,94.253,0
94,,0,07/22/2025 08:34:29.000 GMT+03:00,33.133610307,35.641524505,94.321,0
95,,0,07/22/2025 08:34:53.000 GMT+03:00,33.133775465,35.641572718,94.279,0
96,,0,07/22/2025 08:35:48.000 GMT+03:00,33.133960583,35.64162429,94.311,0
97,,0,07/22/2025 08:36:33.000 GMT+03:00,33.134187567,35.641696383,94.45,0
98,,0,07/22/2025 08:37:12.000 GMT+03:00,33.134430207,35.641770607,94.54,0
99,,0,07/22/2025 08:37:34.000 GMT+03:00,33.134612525,35.641825233,94.468,0
100,,0,07/22/2025 08:38:01.000 GMT+03:00,33.134773178,35.64187554,94.487,0
101,,0,07/22/2025 08:38:27.000 GMT+03:00,33.134945552,35.641922698,94.38,0
102,,0,07/22/2025 08:38:55.000 GMT+03:00,33.135117153,35.641980013,94.616,0
103,,0,07/22/2025 08:39:55.000 GMT+03:00,33.134982408,35.641680653,94.053,0
104,,0,07/22/2025 08:40:16.000 GMT+03:00,33.134810457,35.641630768,94.189,0
105,,0,07/22/2025 08:40:42.000 GMT+03:00,33.134630138,35.641574297,94.126,0
106,,0,07/22/2025 08:41:14.000 GMT+03:00,33.134394168,35.641501542,94.05,0
107,,0,07/22/2025 08:41:38.000 GMT+03:00,33.134219085,35.641450663,93.981,0
108,,0,07/22/2025 08:42:02.000 GMT+03:00,33.134042575,35.641398028,93.948,0
109,,0,07/22/2025 08:42:45.000 GMT+03:00,33.133779428,35.641318685,93.797,0
110,,0,07/22/2025 08:43:11.000 GMT+03:00,33.133604408,35.64126555,93.741,0
111,,0,07/22/2025 08:43:36.000 GMT+03:00,33.133425928,35.641212678,93.721,0
112,,0,07/22/2025 08:44:00.000 GMT+03:00,33.133250962,35.641162302,93.682,0
113,,0,07/22/2025 08:44:24.000 GMT+03:00,33.133068517,35.64111066,93.623,0
114,,0,07/22/2025 08:44:46.000 GMT+03:00,33.132884088,35.641053517,93.475,0
115,,0,07/22/2025 08:45:05.000 GMT+03:00,33.13275016,35.641013687,93.455,0
116,,0,07/22/2025 08:45:42.000 GMT+03:00,33.132526445,35.640945088,93.468,0
117,,0,07/22/2025 08:46:04.000 GMT+03:00,33.132353315,35.640892888,93.34,0
