ObjectID,Speed,Heading,Elevation,Attrib_1
152.0,1.555,100.0,-48.9,3.0
153.0,0.703,114.0,-49.0,3.0
154.0,0.296,139.0,-49.1,2.0
155.0,0.814,111.0,-49.3,3.0
156.0,4.5,101.0,-49.5,3.0
157.0,1.277,158.0,-49.5,3.0
158.0,0.425,104.0,-49.7,3.0
159.0,0.203,138.0,-49.8,3.0
160.0,0.074,116.0,-49.9,3.0
161.0,1.148,89.0,-50.1,3.0
162.0,4.111,98.0,-50.1,3.0
163.0,0.722,113.0,-50.6,3.0
164.0,3.944,123.0,-50.4,3.0
165.0,4.87,107.0,-50.5,3.0
166.0,3.555,113.0,-50.7,3.0
167.0,4.87,98.0,-51.0,3.0
168.0,0.018,108.0,-51.0,3.0
169.0,3.703,106.0,-51.3,3.0
170.0,0.148,176.0,-51.3,3.0
171.0,4.055,99.0,-51.8,3.0
172.0,0.185,120.0,-51.9,3.0
173.0,3.111,124.0,-52.0,2.0
174.0,1.111,346.0,-50.5,1.0
175.0,4.185,285.0,-50.7,3.0
176.0,1.851,314.0,-50.5,3.0
177.0,2.87,267.0,-50.4,3.0
178.0,0.333,115.0,-50.5,3.0
179.0,2.444,330.0,-49.9,3.0
180.0,1.74,327.0,-49.8,3.0
181.0,0.203,302.0,-49.8,3.0
182.0,5.593,287.0,-49.6,3.0
183.0,3.666,291.0,-49.6,3.0
184.0,1.37,304.0,-49.5,3.0
185.0,0.203,283.0,-49.3,3.0
186.0,2.074,312.0,-49.0,3.0
187.0,3.463,298.0,-48.7,3.0
188.0,4.426,301.0,-48.9,3.0
189.0,1.055,297.0,-48.8,3.0
190.0,5.111,294.0,-48.5,3.0
191.0,4.296,302.0,-48.4,3.0
192.0,4.722,286.0,-48.4,3.0
193.0,4.963,292.0,-48.1,3.0
194.0,0.351,280.0,-48.0,3.0
195.0,0.629,283.0,-47.7,3.0
196.0,2.111,305.0,-47.6,3.0
197.0,1.407,292.0,-47.2,3.0
198.0,0.055,281.0,-47.3,2.0
199.0,4.111,290.0,-47.1,3.0
200.0,3.685,296.0,-47.1,3.0
201.0,4.148,290.0,-47.0,3.0
202.0,3.796,290.0,-46.9,3.0
203.0,4.315,302.0,-46.6,3.0
204.0,0.185,301.0,-46.5,3.0
205.0,1.092,331.0,-46.5,3.0
206.0,3.278,289.0,-46.2,3.0
207.0,0.222,309.0,-46.0,3.0
208.0,0.24,281.0,-45.5,3.0
209.0,0.037,281.0,-45.6,3.0
210.0,2.722,296.0,-45.5,3.0
211.0,0.166,268.0,-45.2,3.0
212.0,0.129,301.0,-45.1,0.0
213.0,0.129,301.0,-45.1,3.0
214.0,1.055,321.0,-44.8,2.0
215.0,0.074,282.0,-44.7,3.0
216.0,0.092,282.0,-44.5,3.0
217.0,2.129,206.0,-44.3,3.0
218.0,0.092,287.0,-44.3,3.0
219.0,4.333,291.0,-44.1,3.0
220.0,1.074,1.0,-43.7,3.0
221.0,4.278,302.0,-43.7,3.0
222.0,4.815,281.0,-43.6,3.0
223.0,0.166,292.0,-43.4,2.0
224.0,0.259,271.0,-43.1,3.0
225.0,0.259,289.0,-43.1,3.0
226.0,0.074,283.0,-42.9,3.0
227.0,2.574,285.0,-43.6,3.0
228.0,0.981,286.0,-42.8,3.0
229.0,3.648,292.0,-42.6,3.0
230.0,1.963,298.0,-42.4,3.0
231.0,4.352,301.0,-42.3,3.0
232.0,0.129,282.0,-42.3,2.0
233.0,0.5,290.0,-42.0,2.0
234.0,0.296,287.0,-42.0,2.0
235.0,0.129,286.0,-41.9,3.0
236.0,1.259,295.0,-41.6,2.0
237.0,0.444,282.0,-41.4,1.0
238.0,0.018,282.0,-41.3,1.0
239.0,0.129,279.0,-40.9,1.0
240.0,0.444,288.0,-40.8,1.0
241.0,3.185,286.0,-40.7,2.0
242.0,0.259,74.0,-40.4,2.0
243.0,0.407,293.0,-40.2,3.0
244.0,0.351,283.0,-40.2,3.0
245.0,0.092,296.0,-39.9,3.0
246.0,0.277,7.0,-39.8,2.0
247.0,0.259,11.0,-39.6,2.0
248.0,0.037,304.0,-39.5,2.0
249.0,0.87,293.0,-39.2,2.0
250.0,0.074,306.0,-38.8,2.0
251.0,0.074,209.0,-38.8,1.0
252.0,0.296,279.0,-38.5,3.0
253.0,0.888,287.0,-38.3,3.0
254.0,2.074,288.0,-38.0,3.0
255.0,0.277,296.0,-38.0,1.0
256.0,2.5,286.0,-37.8,2.0
257.0,4.148,296.0,-37.4,3.0
258.0,0.24,295.0,-37.5,3.0
259.0,0.148,269.0,-37.3,1.0
260.0,0.111,296.0,-37.2,1.0
261.0,0.092,286.0,-37.2,1.0
262.0,0.111,299.0,-36.9,2.0
263.0,0.129,305.0,-36.7,2.0
264.0,0.166,282.0,-36.7,2.0
265.0,0.166,301.0,-36.4,1.0
266.0,0.185,284.0,-36.6,1.0
267.0,4.333,289.0,-36.4,1.0
268.0,0.074,141.0,-35.9,2.0
269.0,0.388,240.0,-36.3,1.0
270.0,0.351,115.0,-36.3,1.0
271.0,0.074,38.0,-36.5,1.0
272.0,0.166,106.0,-36.6,2.0
273.0,0.111,139.0,-35.3,2.0
274.0,0.148,198.0,-35.4,2.0
275.0,0.333,179.0,-36.8,1.0
276.0,3.722,97.0,-37.1,2.0
277.0,0.722,124.0,-37.3,3.0
278.0,0.092,110.0,-37.7,2.0
279.0,0.24,48.0,-38.0,2.0
280.0,0.074,139.0,-38.3,2.0
281.0,0.166,102.0,-38.5,2.0
282.0,0.629,115.0,-38.7,2.0
283.0,1.222,150.0,-39.0,1.0
284.0,0.092,168.0,-39.4,1.0
285.0,0.129,275.0,-39.6,1.0
286.0,0.185,202.0,-39.8,1.0
287.0,0.185,107.0,-40.0,1.0
288.0,0.592,103.0,-40.0,2.0
289.0,0.055,196.0,-40.0,1.0
290.0,0.277,123.0,-39.8,2.0
291.0,0.203,155.0,-39.9,2.0
292.0,0.018,246.0,-40.2,2.0
293.0,0.24,131.0,-40.6,1.0
294.0,0.185,102.0,-41.0,2.0
295.0,2.37,83.0,-41.0,3.0
296.0,0.648,127.0,-41.4,3.0
297.0,4.778,113.0,-41.5,3.0
298.0,0.425,100.0,-41.6,3.0
299.0,0.185,117.0,-41.9,2.0
300.0,2.185,112.0,-42.0,2.0
301.0,0.611,258.0,-42.1,2.0
302.0,2.907,129.0,-42.5,3.0
303.0,3.741,107.0,-42.6,3.0
304.0,3.333,116.0,-42.8,3.0
305.0,1.24,130.0,-42.9,3.0
306.0,4.796,103.0,-43.1,3.0
307.0,2.889,106.0,-43.3,3.0
308.0,3.111,104.0,-43.5,3.0
309.0,4.407,103.0,-43.6,3.0
310.0,1.296,126.0,-43.7,3.0
311.0,1.407,122.0,-43.8,3.0
312.0,4.907,109.0,-44.0,3.0
313.0,1.055,118.0,-44.2,3.0
314.0,0.703,111.0,-44.4,3.0
315.0,0.203,137.0,-44.4,3.0
316.0,1.722,114.0,-44.5,3.0
317.0,3.296,100.0,-44.7,3.0
318.0,0.574,97.0,-44.8,3.0
319.0,3.796,115.0,-45.1,3.0
320.0,3.926,93.0,-45.8,3.0
321.0,3.981,106.0,-45.7,3.0
322.0,0.111,123.0,-45.8,2.0
323.0,1.388,156.0,-45.9,2.0
324.0,3.444,123.0,-46.1,3.0
325.0,1.944,154.0,-46.2,3.0
326.0,2.352,112.0,-46.4,3.0
327.0,1.629,138.0,-46.6,3.0
328.0,5.241,111.0,-46.6,3.0
329.0,4.611,118.0,-47.0,3.0
330.0,0.5,118.0,-47.0,3.0
331.0,3.555,102.0,-47.2,3.0
332.0,4.389,121.0,-47.3,3.0
333.0,4.87,111.0,-47.4,3.0
334.0,4.796,112.0,-47.6,3.0
335.0,3.759,117.0,-47.6,3.0
336.0,3.463,100.0,-47.9,3.0
337.0,0.592,157.0,-47.8,3.0
338.0,4.389,110.0,-48.4,3.0
339.0,0.351,109.0,-48.3,3.0
340.0,3.444,107.0,-48.6,3.0
341.0,3.981,115.0,-48.6,3.0
342.0,4.148,134.0,-48.7,3.0
343.0,4.074,104.0,-48.8,3.0
344.0,1.592,146.0,-48.9,3.0
345.0,3.629,107.0,-49.0,3.0
346.0,3.778,100.0,-49.2,3.0
347.0,0.685,99.0,-49.4,3.0
348.0,4.852,112.0,-49.4,3.0
349.0,0.166,129.0,-49.5,3.0
350.0,4.981,111.0,-49.8,3.0
351.0,4.148,121.0,-49.9,3.0
352.0,4.296,117.0,-50.4,3.0
353.0,0.092,99.0,-50.4,3.0
354.0,3.537,121.0,-50.5,3.0
355.0,0.222,119.0,-50.6,3.0
356.0,2.055,100.0,-50.9,2.0
357.0,0.074,74.0,-50.3,1.0
358.0,0.129,278.0,-50.9,2.0
359.0,0.24,312.0,-51.1,3.0
360.0,0.148,331.0,-50.3,2.0
361.0,0.259,289.0,-50.0,3.0
362.0,1.296,306.0,-49.7,3.0
363.0,4.759,300.0,-49.7,3.0
364.0,0.407,298.0,-49.4,3.0
365.0,4.815,284.0,-49.3,3.0
366.0,0.259,274.0,-49.2,3.0
367.0,1.24,13.0,-49.0,3.0
368.0,5.074,289.0,-48.9,3.0
369.0,4.204,293.0,-48.8,3.0
