Id,Aleketleve,Comments,CHANGE_FLG,CHANGE_DAT,ORIG_REC_N,AleketLvl,SamplProp,RNDSELSS,POINT_X,POINT_Y
100609108.0,1.0,,1,2010-06-09,0,1,12,0,246393.18,708249.870973
100609109.0,1.0,,1,2010-06-09,0,1,12,0,246393.81,708260.990973
100609110.0,2.0,,1,2010-06-09,0,2,0,0,246394.44,708271.900973
100609111.0,2.0,,1,2010-06-09,0,2,0,1,246395.07,708282.290973
100609112.0,2.0,,1,2010-06-09,0,2,0,0,246395.82,708292.620973
100609113.0,2.0,,1,2010-06-09,0,2,0,0,246396.55,708302.920973
100609114.0,1.0,,1,2010-06-09,0,1,12,0,246397.05,708313.160973
100609115.0,1.0,,1,2010-06-09,0,1,12,0,246397.93,708323.480973
100609116.0,1.0,,1,2010-06-09,0,1,12,0,246398.6,708333.550973
100609117.0,1.0,,1,2010-06-09,0,1,12,0,246399.24,708344.570973
100609118.0,1.0,,1,2010-06-09,0,1,12,0,246399.91,708350.690973
100609119.0,0.0,,1,2010-06-09,0,0,4,1,246400.87,708362.890973
100609120.0,0.0,,1,2010-06-09,0,0,4,0,246401.61,708373.780973
100609121.0,1.0,,1,2010-06-09,0,1,12,0,246402.3,708385.260973
100609122.0,1.0,,1,2010-06-09,0,1,12,0,246403.16,708396.630973
100609123.0,0.0,,1,2010-06-09,0,0,4,0,246380.11,708392.330973
100609124.0,1.0,,1,2010-06-09,0,1,12,0,246379.26,708381.040973
100609125.0,0.0,,1,2010-06-09,0,0,4,0,246378.5,708370.410973
100609126.0,1.0,,1,2010-06-09,0,1,12,0,246377.72,708359.740973
100609127.0,1.0,,1,2010-06-09,0,1,12,0,246376.93,708348.980973
100609128.0,1.0,,1,2010-06-09,0,1,12,1,246376.08,708337.950973
100609129.0,1.0,,1,2010-06-09,0,1,12,0,246375.44,708327.110973
100609130.0,2.0,,1,2010-06-09,0,2,0,0,246374.73,708316.760973
100609131.0,2.0,,1,2010-06-09,0,2,0,0,246374.15,708305.840973
100609132.0,1.0,,1,2010-06-09,0,1,12,0,246373.36,708295.100973
100609133.0,2.0,,1,2010-06-09,0,2,0,0,246372.83,708284.820973
100609134.0,3.0,,1,2010-06-09,0,3,0,0,246372.17,708274.260973
100609135.0,3.0,,1,2010-06-09,0,3,0,0,246371.43,708263.820973
100609136.0,3.0,,1,2010-06-09,0,3,0,0,246369.93,708253.350973
100609137.0,2.0,,1,2010-06-09,0,2,0,0,246369.15,708242.240973
100609138.0,2.0,,1,2010-06-09,0,2,0,0,246368.96,708231.390973
100609139.0,1.0,,1,2010-06-09,0,1,12,0,246368.33,708220.860973
100609140.0,1.0,,1,2010-06-09,0,1,12,0,246367.59,708211.300973
100609141.0,1.0,,1,2010-06-09,0,1,12,0,246344.84,708215.520973
100609142.0,1.0,,1,2010-06-09,0,1,12,0,246345.67,708225.710973
100609143.0,1.0,,1,2010-06-09,0,1,12,0,246346.51,708236.060973
100609144.0,2.0,,1,2010-06-09,0,2,0,0,246347.11,708246.140973
100609145.0,2.0,,1,2010-06-09,0,2,0,0,246347.75,708257.080973
100609146.0,3.0,,1,2010-06-09,0,3,0,0,246348.26,708267.580973
100609147.0,3.0,,1,2010-06-09,0,3,0,1,246348.98,708278.300973
100609148.0,3.0,,1,2010-06-09,0,3,0,0,246349.74,708288.970973
100609149.0,2.0,,1,2010-06-09,0,2,0,0,246350.27,708299.120973
100609150.0,2.0,,1,2010-06-09,0,2,0,1,246351.06,708309.210973
100609151.0,2.0,,1,2010-06-09,0,2,0,0,246351.83,708319.210973
100609152.0,1.0,,1,2010-06-09,0,1,12,0,246352.4,708329.550973
100609153.0,1.0,,1,2010-06-09,0,1,12,0,246353.26,708340.530973
100609154.0,1.0,,1,2010-06-09,0,1,12,0,246354.13,708350.770973
100609155.0,1.0,,1,2010-06-09,0,1,12,0,246354.68,708360.770973
100609156.0,2.0,,1,2010-06-09,0,2,0,0,246355.53,708371.250973
100609157.0,1.0,,1,2010-06-09,0,1,12,0,246356.22,708381.880973
100609158.0,1.0,,1,2010-06-09,0,1,12,0,246356.81,708392.070973
100609159.0,1.0,,1,2010-06-09,0,1,12,0,246357.56,708402.350973
100609160.0,1.0,,1,2010-06-09,0,1,12,0,246334.05,708399.830973
100609161.0,1.0,,1,2010-06-09,0,1,12,0,246333.31,708389.840973
100609162.0,1.0,,1,2010-06-09,0,1,12,0,246332.93,708379.360973
100609163.0,1.0,,1,2010-06-09,0,1,12,0,246332.38,708368.840973
100609164.0,1.0,,1,2010-06-09,0,1,12,0,246331.92,708358.290973
