_ID,_REC_TIME,_LATITUDE,_LONGITUDE,_10_7_25,remarks
86,07/10/2025 18:57:26.000 GMT+03:00,33.160720382,35.645692387,1.0,
89,07/10/2025 18:59:29.000 GMT+03:00,33.160266512,35.645112597,0.0,
90,07/10/2025 18:59:57.000 GMT+03:00,33.160211572,35.644867212,1.0,
91,07/10/2025 19:00:47.000 GMT+03:00,33.160160582,35.644633925,0.0,
92,07/10/2025 19:01:12.000 GMT+03:00,33.160110772,35.644403592,1.0,
93,07/10/2025 19:01:36.000 GMT+03:00,33.160057588,35.644164157,1.0,
94,07/10/2025 19:02:02.000 GMT+03:00,33.160003118,35.64391539,1.0,
95,07/10/2025 19:02:29.000 GMT+03:00,33.159952528,35.643679232,1.0,
96,07/10/2025 19:02:54.000 GMT+03:00,33.159900615,35.64344177,1.0,
97,07/10/2025 19:03:23.000 GMT+03:00,33.159848477,35.643206347,1.0,
98,07/10/2025 19:05:09.000 GMT+03:00,33.159795493,35.642962257,1.0,
99,07/10/2025 19:05:36.000 GMT+03:00,33.159742288,35.642722712,1.0,
100,07/10/2025 19:06:20.000 GMT+03:00,33.15968937,35.642477,0.0,
101,07/10/2025 19:06:43.000 GMT+03:00,33.159635603,35.642232272,1.0,
102,07/10/2025 19:07:17.000 GMT+03:00,33.159582878,35.641992193,0.0,
105,07/10/2025 19:08:41.000 GMT+03:00,33.159348135,35.642439938,1.0,
106,07/10/2025 19:09:04.000 GMT+03:00,33.159400735,35.642679832,1.0,
107,07/10/2025 19:09:33.000 GMT+03:00,33.159453582,35.64291647,1.0,
108,07/10/2025 19:09:56.000 GMT+03:00,33.159506357,35.643162467,1.0,
109,07/10/2025 19:10:32.000 GMT+03:00,33.159556128,35.643414448,1.0,
110,07/10/2025 19:10:58.000 GMT+03:00,33.159613697,35.643651843,1.0,
111,07/10/2025 19:11:22.000 GMT+03:00,33.15966682,35.643892862,1.0,
112,07/10/2025 19:11:52.000 GMT+03:00,33.159719498,35.644131545,1.0,
113,07/10/2025 19:12:16.000 GMT+03:00,33.159773107,35.644375108,1.0,
114,07/10/2025 19:12:59.000 GMT+03:00,33.159829127,35.644622533,0.0,
117,07/10/2025 19:15:54.000 GMT+03:00,33.15940016,35.644173385,0.0,
118,07/10/2025 19:16:24.000 GMT+03:00,33.15934708,35.643931,0.0,
119,07/10/2025 19:16:51.000 GMT+03:00,33.159294962,35.643689105,0.0,
120,07/10/2025 19:17:29.000 GMT+03:00,33.159226015,35.643452487,0.0,
121,07/10/2025 19:17:56.000 GMT+03:00,33.159170393,35.643204777,0.0,
122,07/10/2025 19:18:21.000 GMT+03:00,33.159117593,35.642966563,0.0,
123,07/10/2025 19:18:48.000 GMT+03:00,33.159065415,35.64272392,0.0,
124,07/10/2025 19:19:36.000 GMT+03:00,33.159009202,35.642481325,0.0,
127,07/10/2025 19:22:15.000 GMT+03:00,33.158804015,35.642959248,0.0,
128,07/10/2025 19:22:52.000 GMT+03:00,33.158857932,35.643206732,0.0,
129,07/10/2025 19:23:20.000 GMT+03:00,33.158909628,35.643437948,1.0,
130,07/10/2025 19:23:46.000 GMT+03:00,33.1589613,35.643677962,1.0,
131,07/10/2025 19:24:16.000 GMT+03:00,33.159013632,35.643919578,1.0,
134,07/10/2025 19:27:38.000 GMT+03:00,33.158667682,35.643592803,0.0,
135,07/10/2025 19:28:10.000 GMT+03:00,33.15861547,35.643348467,0.0,
136,07/10/2025 19:31:37.000 GMT+03:00,33.158563075,35.643114235,0.0,
137,07/10/2025 19:33:47.000 GMT+03:00,33.158525578,35.642949565,0.0,
