ObjectID,Speed,Heading,Elevation,Attrib_1
122.0,2.508,171.0,169.948,3.0
123.0,2.899,160.0,170.604,3.0
124.0,2.497,167.0,171.26,3.0
125.0,2.485,181.0,172.572,3.0
126.0,3.544,153.0,173.556,3.0
127.0,2.796,167.0,173.885,3.0
128.0,3.314,166.0,174.869,3.0
129.0,2.98,152.0,175.853,3.0
130.0,2.209,173.0,176.837,3.0
131.0,3.13,170.0,177.822,3.0
132.0,2.934,166.0,178.478,3.0
133.0,0.115,148.0,179.462,3.0
134.0,1.553,142.0,180.774,3.0
135.0,1.484,175.0,181.43,3.0
136.0,2.462,171.0,182.743,3.0
137.0,2.22,168.0,184.055,3.0
138.0,2.945,160.0,185.039,3.0
139.0,2.577,170.0,186.352,3.0
140.0,0.0,171.0,188.976,3.0
141.0,0.023,57.0,187.664,3.0
142.0,2.819,344.0,185.696,3.0
143.0,2.899,351.0,184.383,3.0
144.0,2.359,347.0,183.071,3.0
145.0,3.015,354.0,181.759,2.0
146.0,2.761,356.0,180.118,3.0
147.0,2.865,347.0,180.118,3.0
148.0,3.015,340.0,178.15,3.0
149.0,2.646,347.0,176.837,3.0
150.0,2.773,347.0,175.853,3.0
151.0,3.279,345.0,175.197,3.0
152.0,3.256,352.0,173.885,3.0
153.0,3.118,335.0,173.228,3.0
154.0,3.072,350.0,172.244,3.0
155.0,2.566,353.0,171.26,3.0
156.0,2.945,348.0,169.948,3.0
157.0,2.819,348.0,168.963,3.0
158.0,2.98,351.0,168.963,3.0
159.0,3.084,358.0,167.979,3.0
160.0,2.577,346.0,167.651,3.0
161.0,3.015,355.0,166.995,3.0
162.0,0.356,297.0,166.01,3.0
163.0,0.586,152.0,166.339,3.0
164.0,2.278,174.0,168.307,3.0
165.0,0.057,136.0,168.307,3.0
166.0,2.796,164.0,169.619,3.0
167.0,3.141,160.0,170.604,3.0
168.0,2.6,165.0,171.588,3.0
169.0,2.704,164.0,172.9,3.0
170.0,3.245,157.0,173.885,3.0
171.0,3.348,174.0,174.213,3.0
172.0,2.474,166.0,175.197,3.0
173.0,2.692,175.0,176.181,3.0
174.0,3.417,143.0,177.165,3.0
175.0,2.819,172.0,178.478,3.0
176.0,0.264,160.0,179.462,3.0
177.0,3.406,157.0,180.118,3.0
178.0,2.853,174.0,181.759,3.0
179.0,2.807,154.0,182.415,3.0
180.0,2.209,180.0,183.727,3.0
181.0,0.034,189.0,187.336,2.0
182.0,0.046,316.0,187.008,2.0
183.0,3.348,355.0,185.039,2.0
184.0,2.899,342.0,183.399,2.0
185.0,0.402,347.0,182.087,3.0
186.0,2.313,349.0,181.102,2.0
187.0,3.279,350.0,179.79,3.0
188.0,2.244,336.0,179.462,3.0
189.0,2.669,343.0,177.165,2.0
190.0,2.853,338.0,175.853,3.0
191.0,2.83,349.0,175.197,3.0
192.0,2.992,336.0,174.541,3.0
193.0,2.934,335.0,172.9,3.0
194.0,3.302,332.0,172.572,3.0
195.0,2.899,340.0,171.588,3.0
196.0,2.681,357.0,170.604,3.0
197.0,2.577,342.0,169.948,2.0
198.0,1.806,359.0,168.963,3.0
199.0,0.081,163.0,169.619,2.0
200.0,2.888,148.0,171.588,1.0
201.0,2.75,161.0,171.916,2.0
202.0,2.981,158.0,172.9,3.0
203.0,3.498,172.0,173.556,3.0
204.0,2.486,163.0,175.525,3.0
205.0,2.44,162.0,175.853,3.0
206.0,2.428,167.0,176.837,2.0
207.0,2.785,179.0,177.822,1.0
208.0,0.138,159.0,179.134,1.0
209.0,2.382,169.0,180.446,2.0
210.0,3.038,178.0,181.43,3.0
211.0,2.601,154.0,182.087,3.0
212.0,2.29,169.0,184.055,2.0
213.0,3.245,170.0,185.367,2.0
214.0,1.956,167.0,187.664,2.0
215.0,0.207,315.0,188.976,3.0
216.0,2.842,355.0,186.024,2.0
217.0,3.222,331.0,184.711,2.0
218.0,2.509,340.0,183.399,2.0
219.0,2.888,354.0,182.415,2.0
220.0,2.946,337.0,180.118,2.0
221.0,2.428,353.0,180.118,2.0
222.0,3.038,336.0,178.478,3.0
223.0,2.888,333.0,177.165,3.0
224.0,3.199,341.0,176.181,3.0
225.0,2.543,341.0,175.197,3.0
226.0,3.291,349.0,173.556,3.0
227.0,1.784,351.0,172.244,3.0
228.0,2.359,183.0,173.885,3.0
229.0,3.027,157.0,175.197,3.0
230.0,1.784,142.0,176.509,3.0
231.0,2.463,162.0,177.165,3.0
232.0,3.107,171.0,178.478,3.0
233.0,2.071,185.0,179.462,2.0
234.0,2.566,158.0,180.774,3.0
235.0,2.9,163.0,182.087,3.0
236.0,2.992,172.0,183.727,2.0
237.0,2.946,149.0,185.367,3.0
238.0,0.357,207.0,188.648,2.0
239.0,0.299,308.0,188.976,1.0
240.0,3.337,353.0,186.68,2.0
241.0,2.578,347.0,185.039,2.0
242.0,2.681,345.0,183.399,2.0
243.0,2.578,345.0,183.071,3.0
244.0,2.555,347.0,180.446,3.0
245.0,3.119,350.0,179.462,3.0
246.0,2.992,337.0,178.478,3.0
247.0,2.014,346.0,177.822,3.0
248.0,0.944,163.0,178.806,3.0
249.0,2.888,173.0,179.79,3.0
250.0,2.934,152.0,180.446,3.0
251.0,2.693,170.0,182.087,3.0
252.0,2.543,158.0,183.727,3.0
253.0,2.854,157.0,185.696,2.0
254.0,0.817,161.0,188.976,3.0
255.0,2.543,326.0,189.304,3.0
256.0,2.888,342.0,187.008,3.0
257.0,3.13,334.0,185.696,2.0
258.0,3.004,342.0,184.055,3.0
259.0,2.025,7.0,183.399,3.0
260.0,2.302,155.0,185.367,3.0
261.0,2.371,162.0,188.648,3.0
262.0,1.496,160.0,190.617,3.0
