ObjectID,Speed,Heading,Elevation,Attrib_1,SampleID
206.0,2.629,281.0,14.6,1.0,
207.0,1.129,237.0,13.6,1.0,
208.0,4.204,59.0,14.4,1.0,
209.0,4.129,128.0,15.3,0.0,
210.0,2.352,101.0,16.4,0.0,
211.0,1.722,145.0,17.0,0.0,
212.0,3.148,105.0,17.6,1.0,
213.0,3.481,121.0,17.7,0.0,
214.0,2.722,138.0,17.6,1.0,
215.0,2.629,144.0,17.5,1.0,
216.0,0.148,105.0,16.7,1.0,
217.0,2.852,92.0,15.1,1.0,
218.0,3.778,103.0,12.7,1.0,
219.0,3.555,121.0,9.8,0.0,
220.0,0.722,113.0,9.7,0.0,
221.0,0.425,100.0,10.7,0.0,
222.0,1.148,136.0,10.7,1.0,
223.0,0.166,136.0,10.7,1.0,
224.0,4.778,115.0,9.9,0.0,
225.0,2.574,92.0,8.8,1.0,
226.0,4.278,123.0,7.5,1.0,
227.0,0.111,162.0,6.5,0.0,
228.0,0.037,130.0,5.1,1.0,
229.0,0.24,119.0,4.9,1.0,
230.0,3.926,127.0,4.8,1.0,
231.0,1.481,82.0,4.7,1.0,
232.0,2.87,153.0,4.0,1.0,
233.0,2.852,105.0,3.1,1.0,
234.0,1.24,128.0,1.9,1.0,
235.0,3.778,102.0,1.7,1.0,
236.0,0.24,94.0,3.3,0.0,
237.0,0.462,64.0,4.7,1.0,
238.0,1.981,87.0,6.0,1.0,
239.0,0.185,112.0,6.8,1.0,
240.0,1.074,117.0,7.7,1.0,
241.0,2.981,137.0,8.5,1.0,
242.0,2.926,149.0,9.0,1.0,
243.0,3.259,109.0,9.3,1.0,
244.0,1.24,89.0,9.7,1.0,
245.0,0.314,87.0,9.6,1.0,
246.0,3.796,112.0,8.9,0.0,
247.0,1.314,154.0,7.5,0.0,
248.0,2.926,122.0,6.7,1.0,
249.0,1.944,135.0,7.5,0.0,
250.0,1.314,25.0,7.4,0.0,
251.0,2.852,210.0,8.8,0.0,
252.0,0.166,248.0,9.0,0.0,
253.0,0.537,288.0,8.4,0.0,
254.0,1.185,301.0,9.6,1.0,
255.0,0.111,313.0,10.5,1.0,
256.0,2.592,276.0,10.9,1.0,
257.0,0.277,0.0,11.1,0.0,
258.0,0.74,294.0,10.9,1.0,
259.0,3.296,294.0,10.5,0.0,
260.0,0.388,281.0,9.9,0.0,
261.0,1.463,268.0,8.9,0.0,
262.0,1.129,269.0,8.0,0.0,
263.0,0.129,296.0,6.7,0.0,
264.0,1.611,316.0,4.9,0.0,
265.0,1.592,324.0,3.3,0.0,
266.0,3.24,280.0,2.8,0.0,
267.0,0.5,298.0,4.2,0.0,
268.0,4.129,306.0,5.3,0.0,
269.0,0.074,247.0,6.0,0.0,
270.0,1.444,342.0,6.7,0.0,
271.0,2.444,324.0,6.6,0.0,
272.0,0.148,282.0,6.6,0.0,
273.0,2.703,316.0,7.7,1.0,
274.0,0.203,303.0,9.0,1.0,
275.0,0.87,304.0,10.4,1.0,
276.0,3.611,313.0,11.9,0.0,
277.0,2.0,276.0,12.5,0.0,
278.0,1.092,269.0,11.0,0.0,
279.0,1.555,308.0,12.6,0.0,
280.0,1.648,328.0,15.5,0.0,
281.0,0.944,296.0,17.6,1.0,
282.0,2.944,280.0,18.5,0.0,
