Od,Aleket_cnt,Commends
351.0,2.0,
352.0,2.0,
353.0,2.0,
354.0,2.0,
355.0,2.0,
356.0,2.0,
357.0,2.0,
358.0,2.0,
359.0,2.0,
360.0,2.0,
361.0,2.0,
362.0,2.0,
363.0,2.0,
364.0,2.0,Include water lines
365.0,2.0,
366.0,2.0,
367.0,2.0,
368.0,3.0,
369.0,2.0,
370.0,3.0,
371.0,3.0,
372.0,2.0,
373.0,2.0,
374.0,2.0,
375.0,2.0,
376.0,2.0,
377.0,3.0,
378.0,3.0,Include water lines
379.0,3.0,
380.0,2.0,
381.0,3.0,
382.0,2.0,
383.0,2.0,
384.0,3.0,
385.0,3.0,
386.0,3.0,
387.0,2.0,
388.0,2.0,
389.0,2.0,
390.0,2.0,
391.0,3.0,
392.0,3.0,
393.0,3.0,
394.0,2.0,
395.0,2.0,
396.0,3.0,
397.0,3.0,
398.0,3.0,
399.0,3.0,
400.0,2.0,
401.0,3.0,
402.0,3.0,
403.0,3.0,
404.0,3.0,
405.0,3.0,
406.0,3.0,
407.0,3.0,
408.0,3.0,
409.0,3.0,
410.0,3.0,
411.0,2.0,Include water lines
412.0,2.0,
413.0,2.0,
414.0,2.0,
415.0,2.0,
416.0,3.0,
417.0,3.0,
418.0,2.0,
419.0,3.0,
420.0,2.0,
421.0,1.0,
422.0,2.0,
423.0,2.0,
424.0,2.0,
425.0,3.0,
426.0,2.0,
427.0,3.0,
428.0,3.0,
429.0,3.0,
430.0,3.0,
431.0,2.0,
432.0,2.0,
433.0,2.0,
434.0,2.0,
435.0,2.0,
436.0,2.0,
437.0,2.0,
438.0,3.0,
439.0,3.0,
440.0,3.0,
441.0,3.0,
442.0,3.0,
443.0,3.0,
444.0,3.0,
445.0,3.0,
446.0,3.0,
447.0,3.0,
448.0,2.0,
449.0,2.0,Include pamp
450.0,2.0,
451.0,2.0,
452.0,2.0,
453.0,2.0,
454.0,2.0,
455.0,3.0,
456.0,3.0,
457.0,2.0,
458.0,3.0,
459.0,2.0,Include water lines
460.0,2.0,
461.0,2.0,
462.0,2.0,
463.0,2.0,
464.0,3.0,
465.0,3.0,
466.0,2.0,
467.0,3.0,
468.0,3.0,
469.0,3.0,
470.0,3.0,
471.0,3.0,
472.0,3.0,Include water lines
473.0,3.0,
474.0,3.0,
475.0,2.0,
476.0,2.0,
477.0,2.0,
478.0,2.0,
479.0,2.0,
480.0,2.0,
481.0,2.0,
482.0,2.0,
483.0,2.0,
484.0,2.0,
485.0,2.0,
486.0,2.0,
487.0,2.0,
488.0,2.0,
489.0,2.0,
490.0,2.0,
491.0,2.0,
492.0,2.0,
493.0,2.0,
494.0,2.0,
495.0,2.0,
496.0,2.0,
497.0,2.0,
498.0,2.0,
499.0,2.0,
500.0,2.0,
501.0,2.0,
502.0,2.0,
503.0,2.0,
504.0,2.0,
505.0,2.0,
506.0,2.0,
507.0,2.0,Include water lines
508.0,2.0,
509.0,2.0,
510.0,3.0,
511.0,2.0,
512.0,2.0,
513.0,2.0,
514.0,3.0,
515.0,2.0,
516.0,2.0,
517.0,3.0,
518.0,3.0,
519.0,2.0,Include water lines
520.0,3.0,
521.0,3.0,
522.0,3.0,
523.0,3.0,
524.0,3.0,
525.0,3.0,
526.0,3.0,
527.0,3.0,
528.0,3.0,
529.0,3.0,
530.0,3.0,
531.0,2.0,
532.0,2.0,
533.0,3.0,
534.0,3.0,
535.0,3.0,
536.0,3.0,
537.0,3.0,
538.0,3.0,
539.0,2.0,
540.0,2.0,Include water lines
541.0,2.0,
542.0,2.0,
543.0,2.0,
544.0,2.0,
545.0,2.0,
546.0,2.0,
547.0,2.0,
548.0,2.0,
549.0,2.0,
550.0,3.0,
551.0,3.0,
552.0,3.0,Include water lines
553.0,2.0,
554.0,2.0,
555.0,2.0,
556.0,3.0,
557.0,2.0,
558.0,2.0,
559.0,2.0,
560.0,3.0,
561.0,3.0,
562.0,3.0,
563.0,2.0,Include water lines
564.0,2.0,
565.0,3.0,
566.0,3.0,
567.0,2.0,
568.0,2.0,
569.0,2.0,
570.0,3.0,
571.0,3.0,
572.0,2.0,
573.0,3.0,
574.0,2.0,
575.0,2.0,
576.0,2.0,
577.0,1.0,Only east side
578.0,1.0,
579.0,2.0,
580.0,2.0,
581.0,2.0,
582.0,2.0,
583.0,2.0,
584.0,2.0,
585.0,2.0,
586.0,2.0,
587.0,2.0,
588.0,2.0,Include water pumps
589.0,2.0,
590.0,2.0,
591.0,2.0,
592.0,2.0,
593.0,2.0,
594.0,2.0,
595.0,2.0,
596.0,2.0,
597.0,2.0,
598.0,2.0,
599.0,1.0,
600.0,2.0,
601.0,2.0,
602.0,3.0,
603.0,3.0,
604.0,2.0,
605.0,2.0,
606.0,2.0,
607.0,2.0,
608.0,1.0,
609.0,2.0,Include pamp
610.0,2.0,
611.0,2.0,
612.0,2.0,
613.0,2.0,
614.0,1.0,
615.0,2.0,
616.0,2.0,
617.0,2.0,
618.0,2.0,
619.0,2.0,
