_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_10_7_25,aleket
67,,0,07/10/2025 06:50:43.000 GMT+03:00,33.14746929,35.635787845,95.792,,0
68,,0,07/10/2025 06:51:12.000 GMT+03:00,33.147461382,35.635580665,95.9,,0
69,,0,07/10/2025 06:51:51.000 GMT+03:00,33.147454483,35.635291137,95.6,,0
70,,0,07/10/2025 06:52:18.000 GMT+03:00,33.147447888,35.635078305,95.462,,0
71,,0,07/10/2025 06:52:48.000 GMT+03:00,33.147439752,35.634869858,95.402,,0
72,,0,07/10/2025 06:53:17.000 GMT+03:00,33.14743501,35.63465353,95.234,,0
73,,0,07/10/2025 06:54:35.000 GMT+03:00,33.147651213,35.634768385,95.439,,0
74,,0,07/10/2025 06:55:13.000 GMT+03:00,33.147660442,35.635076345,95.531,,0
75,,0,07/10/2025 06:55:46.000 GMT+03:00,33.147667867,35.635281812,95.472,,0
76,,0,07/10/2025 06:56:09.000 GMT+03:00,33.147672017,35.63548342,95.653,,0
77,,0,07/10/2025 06:56:36.000 GMT+03:00,33.147680145,35.635675668,95.811,,0
78,,0,07/10/2025 06:57:04.000 GMT+03:00,33.147685537,35.635891698,95.933,,0
79,,0,07/10/2025 06:57:31.000 GMT+03:00,33.147693925,35.636105328,95.951,,0
80,,0,07/10/2025 06:57:55.000 GMT+03:00,33.147698925,35.636237363,96.074,,0
81,,0,07/10/2025 06:58:25.000 GMT+03:00,33.1477033,35.636429377,96.251,,0
83,,0,07/10/2025 06:58:58.000 GMT+03:00,33.147709977,35.636627088,96.322,,0
84,,0,07/10/2025 07:00:00.000 GMT+03:00,33.147717837,35.63689818,96.584,,0
85,,0,07/10/2025 07:00:34.000 GMT+03:00,33.147725345,35.63709055,96.754,,0
86,,0,07/10/2025 07:01:06.000 GMT+03:00,33.14773078,35.637247783,96.88,,0
87,,0,07/10/2025 07:01:37.000 GMT+03:00,33.147738448,35.637465335,97.012,,0
88,,0,07/10/2025 07:02:18.000 GMT+03:00,33.14774745,35.637682177,97.088,,0
89,,0,07/10/2025 07:02:50.000 GMT+03:00,33.147753862,35.637889948,96.988,,0
90,,0,07/10/2025 07:03:37.000 GMT+03:00,33.147760687,35.638089368,97.024,,0
91,,0,07/10/2025 07:04:32.000 GMT+03:00,33.147767795,35.638270708,96.87,,0
92,,0,07/10/2025 07:05:11.000 GMT+03:00,33.14777323,35.638496093,97.036,,0
93,,0,07/10/2025 07:06:14.000 GMT+03:00,33.147958883,35.638394653,97.109,,0
94,,0,07/10/2025 07:06:44.000 GMT+03:00,33.147953935,35.638185175,96.863,,0
95,,0,07/10/2025 07:07:12.000 GMT+03:00,33.147946297,35.637980163,96.877,,0
96,,0,07/10/2025 07:07:39.000 GMT+03:00,33.147938178,35.637761767,96.964,,0
97,,0,07/10/2025 07:08:06.000 GMT+03:00,33.147931307,35.637542272,96.843,,0
98,,0,07/10/2025 07:08:33.000 GMT+03:00,33.147924725,35.637338298,96.922,,0
99,,0,07/10/2025 07:09:12.000 GMT+03:00,33.147915348,35.63711384,96.805,,0
100,,0,07/10/2025 07:09:40.000 GMT+03:00,33.14790923,35.636904242,96.509,,0
101,,0,07/10/2025 07:10:07.000 GMT+03:00,33.147900712,35.636701555,96.153,,0
102,,0,07/10/2025 07:10:38.000 GMT+03:00,33.147894865,35.636427647,96.18,,0
103,,0,07/10/2025 07:11:08.000 GMT+03:00,33.14788592,35.63622276,96.086,,0
104,,0,07/10/2025 07:11:33.000 GMT+03:00,33.147879238,35.636013865,96.012,,0
105,,0,07/10/2025 07:12:05.000 GMT+03:00,33.147867743,35.635708537,95.683,,0
106,,0,07/10/2025 07:12:35.000 GMT+03:00,33.147861822,35.635501862,95.75,,0
107,,0,07/10/2025 07:13:01.000 GMT+03:00,33.147855578,35.635298388,95.656,,0
108,,0,07/10/2025 07:13:23.000 GMT+03:00,33.147848323,35.63509237,95.714,,0
109,,0,07/10/2025 07:13:54.000 GMT+03:00,33.147844383,35.634881992,95.482,,0
110,,0,07/10/2025 07:14:17.000 GMT+03:00,33.147835773,35.634688037,95.378,,0
111,,0,07/10/2025 07:15:32.000 GMT+03:00,33.148052598,35.634716288,95.597,,0
112,,0,07/10/2025 07:16:05.000 GMT+03:00,33.148059708,35.63492414,95.732,,0
113,,0,07/10/2025 07:17:17.000 GMT+03:00,33.148066212,35.635145003,95.73,,0
114,,0,07/10/2025 07:17:41.000 GMT+03:00,33.148068472,35.635353248,95.773,,0
115,,0,07/10/2025 07:18:03.000 GMT+03:00,33.148078535,35.635570565,95.908,,0
116,,0,07/10/2025 07:18:52.000 GMT+03:00,33.148091062,35.63592606,96.044,,0
117,,0,07/10/2025 07:19:16.000 GMT+03:00,33.148095662,35.636139102,95.895,,0
118,,0,07/10/2025 07:19:44.000 GMT+03:00,33.148106657,35.636352602,96.234,,0
119,,0,07/10/2025 07:20:16.000 GMT+03:00,33.148109485,35.636557428,96.366,,0
120,,0,07/10/2025 07:25:48.000 GMT+03:00,33.148118337,35.636803343,96.437,,0
121,,0,07/10/2025 07:26:12.000 GMT+03:00,33.148127647,35.637020097,96.644,,0
122,,0,07/10/2025 07:26:35.000 GMT+03:00,33.148134032,35.63724023,96.618,,0
123,,0,07/10/2025 07:26:56.000 GMT+03:00,33.148142428,35.637452122,96.727,,0
124,,0,07/10/2025 07:27:23.000 GMT+03:00,33.148149452,35.637662058,96.764,,0
125,,0,07/10/2025 07:28:04.000 GMT+03:00,33.14815726,35.637901297,96.802,,0
126,,0,07/10/2025 07:28:26.000 GMT+03:00,33.14816824,35.638103787,96.898,,0
127,,0,07/10/2025 07:28:50.000 GMT+03:00,33.148172623,35.638323647,96.997,,0
128,,0,07/10/2025 07:29:22.000 GMT+03:00,33.148180917,35.638526987,96.935,,0
129,,0,07/10/2025 07:31:56.000 GMT+03:00,33.148385672,35.636897025,96.45,,0
130,,0,07/10/2025 07:32:24.000 GMT+03:00,33.148374703,35.636655432,96.348,,0
131,,0,07/10/2025 07:33:13.000 GMT+03:00,33.148359422,35.636384075,96.29,,0
132,,0,07/10/2025 07:33:36.000 GMT+03:00,33.148359832,35.636192408,96.026,,0
133,,0,07/10/2025 07:34:02.000 GMT+03:00,33.148347967,35.635987693,96.094,,0
134,,0,07/10/2025 07:34:29.000 GMT+03:00,33.148343338,35.635772512,95.959,,0
135,,0,07/10/2025 07:35:19.000 GMT+03:00,33.148334497,35.635466492,95.991,,0
136,,1,07/10/2025 07:36:33.000 GMT+03:00,33.148328013,35.635281468,95.807,,1
137,,1,07/10/2025 07:37:01.000 GMT+03:00,33.148322497,35.63508253,95.763,,1
138,,0,07/10/2025 07:37:39.000 GMT+03:00,33.148316065,35.634878307,95.586,,0
139,,0,07/10/2025 07:38:09.000 GMT+03:00,33.14830942,35.634666205,95.495,,0
140,,0,07/10/2025 07:38:31.000 GMT+03:00,33.148301155,35.634504182,95.035,,0
141,,0,07/10/2025 07:39:27.000 GMT+03:00,33.14852477,35.6347321,95.6,,0
142,,0,07/10/2025 07:40:18.000 GMT+03:00,33.148533432,35.63502401,95.243,,0
143,,0,07/10/2025 07:40:48.000 GMT+03:00,33.14853926,35.635234167,95.428,,0
144,,0,07/10/2025 07:41:16.000 GMT+03:00,33.148545348,35.635445358,95.784,,0
146,,0,07/10/2025 07:41:45.000 GMT+03:00,33.14855924,35.635665922,95.811,,0
147,,0,07/10/2025 07:42:10.000 GMT+03:00,33.148563682,35.635861213,96.095,,0
