OBJECTID,Od,Aleket,Commends,X,Y
1,968.000000000000000,0.000000000000000,First point ablek,235957.019999999550000,720942.000000000000000
2,969.000000000000000,0.000000000000000, ,235967.669999999930000,720941.929999999700000
3,970.000000000000000,0.000000000000000, ,235977.830000000070000,720942.359999999400000
4,971.000000000000000,0.000000000000000, ,235988.200000000190000,720942.720000000670000
5,972.000000000000000,0.000000000000000, ,236000.429999999700000,720942.550000000750000
6,973.000000000000000,1.000000000000000, ,236010.929999999700000,720942.630000000820000
7,974.000000000000000,1.000000000000000, ,236020.679999999700000,720942.529999999330000
8,975.000000000000000,1.000000000000000,Treatment,236031.330000000070000,720942.640000000600000
9,976.000000000000000,1.000000000000000, ,236043.450000000190000,720942.720000000670000
10,977.000000000000000,1.000000000000000, ,236055.830000000070000,720942.949999999250000
11,978.000000000000000,1.000000000000000, ,236067.870000000110000,720942.769999999550000
12,979.000000000000000,1.000000000000000, ,236079.839999999850000,720942.919999999930000
13,980.000000000000000,1.000000000000000, ,236092.820000000300000,720943.029999999330000
14,981.000000000000000,1.000000000000000,Include water lines,236104.799999999810000,720943.130000000820000
15,982.000000000000000,1.000000000000000,End treatment,236118.280000000260000,720943.130000000820000
16,983.000000000000000,1.000000000000000, ,236128.820000000300000,720943.310000000520000
17,984.000000000000000,1.000000000000000, ,236141.250000000000000,720943.259999999780000
18,985.000000000000000,1.000000000000000, ,236153.610000000340000,720943.589999999850000
19,986.000000000000000,1.000000000000000, ,236164.639999999660000,720943.570000000300000
20,987.000000000000000,1.000000000000000, ,236174.500000000000000,720943.470000000670000
21,988.000000000000000,1.000000000000000, ,236186.370000000110000,720943.539999999110000
22,989.000000000000000,1.000000000000000, ,236196.889999999660000,720943.580000000070000
23,990.000000000000000,1.000000000000000, ,236207.480000000450000,720944.289999999110000
24,991.000000000000000,1.000000000000000, ,236219.400000000370000,720942.759999999780000
25,992.000000000000000,1.000000000000000, ,236230.240000000220000,720942.740000000220000
