image,Point_ID,Aleket_cnt,lat,long,date,Days_Before_Sample,ndvi,gndvi,green_red_ratio,ndre,entropy,green,homogeneity,asm
1,968.0,0,32.58263188170005,35.38018248890491,10/05/2011,51,,,,,,,,
1,969.0,0,32.582631091786354,35.38029591549191,10/05/2011,51,,,,,,,,
1,970.0,0,32.58263481768937,35.38040413214078,10/05/2011,51,,,,,,,,
1,971.0,0,32.582637909159416,35.380514584169156,10/05/2011,51,,,,,,,,
1,972.0,0,32.5826361936253,35.380644836785024,10/05/2011,51,,,,,,,,
1,973.0,1,32.58263675811918,35.38075666844445,10/05/2011,51,,,,,,,,
1,974.0,1,32.58263571063037,35.38086050905052,10/05/2011,51,,,,,,,,
1,975.0,1,32.58263654320425,35.38097393881495,10/05/2011,51,,,,,,,,
1,976.0,1,32.582637083146295,35.38110302428484,10/05/2011,51,,,,,,,,
1,977.0,1,32.58263897164223,35.38123488154071,10/05/2011,51,,,,,,,,
1,978.0,1,32.5826371680389,35.381363110368774,10/05/2011,51,,,,,,,,
1,979.0,1,32.5826383410378,35.38149059950593,10/05/2011,51,,,,,,,,
1,980.0,1,32.582639138048854,35.38162884494076,10/05/2011,51,,,,,,,,
1,981.0,1,32.58263985976685,35.38175643970018,10/05/2011,51,,,,,,,,
1,982.0,1,32.58263965706995,35.38190000843363,10/05/2011,51,,,,,,,,
1,983.0,1,32.582641121566645,35.382012267897714,10/05/2011,51,,,,,,,,
1,984.0,1,32.582640483533865,35.38214465271712,10/05/2011,51,,,,,,,,
1,985.0,1,32.58264327296017,35.38227629876507,10/05/2011,51,,,,,,,,
1,986.0,1,32.5826429262854,35.38239377341962,10/05/2011,51,,,,,,,,
1,987.0,1,32.582641875783544,35.38249878556218,10/05/2011,51,,,,,,,,
1,988.0,1,32.58264232776313,35.38262520823803,10/05/2011,51,,,,,,,,
1,989.0,1,32.58264252950356,35.3827372522049,10/05/2011,51,,,,,,,,
1,990.0,1,32.582648771622125,35.38285005367478,10/05/2011,51,,,,,,,,
1,991.0,1,32.5826347949414,35.38297698028462,10/05/2011,51,,,,,,,,
1,992.0,1,32.58263445048907,35.38309243132758,10/05/2011,51,,,,,,,,
1,993.0,1,32.582638160345226,35.383210233533184,10/05/2011,51,,,,,,,,
1,994.0,1,32.5826411242983,35.38334518161818,10/05/2011,51,,,,,,,,
1,995.0,1,32.5826432726107,35.383482897227786,10/05/2011,51,,,,,,,,
1,996.0,1,32.582642359930105,35.38361709207903,10/05/2011,51,,,,,,,,
1,997.0,1,32.58264265156626,35.38372871020341,10/05/2011,51,,,,,,,,
1,998.0,1,32.582644032621,35.38383511173901,10/05/2011,51,,,,,,,,
1,999.0,1,32.58264635647957,35.38397580986135,10/05/2011,51,,,,,,,,
1,1000.0,1,32.5826440803331,35.38411724435042,10/05/2011,51,,,,,,,,
1,1001.0,1,32.582649143944835,35.38423355823646,10/05/2011,51,,,,,,,,
1,1002.0,1,32.58264863202373,35.38433921046794,10/05/2011,51,,,,,,,,
1,1003.0,1,32.58265141213067,35.38447575581426,10/05/2011,51,,,,,,,,
1,1004.0,1,32.58265135010334,35.38458194147279,10/05/2011,51,,,,,,,,
1,1005.0,1,32.5826493891755,35.38469174451058,10/05/2011,51,,,,,,,,
1,1006.0,1,32.58264930005641,35.38481667504379,10/05/2011,51,,,,,,,,
1,1007.0,2,32.582656414182715,35.38494886237364,10/05/2011,51,,,,,,,,
1,1008.0,1,32.58265416542236,35.38507048691978,10/05/2011,51,,,,,,,,
1,1009.0,2,32.582650364004444,35.38520574102123,10/05/2011,51,,,,,,,,
1,1010.0,2,32.58264746002239,35.385343872556334,10/05/2011,51,,,,,,,,
1,1011.0,2,32.58264663230402,35.3854803041711,10/05/2011,51,,,,,,,,
1,1012.0,2,32.582646922745894,35.38559160278374,10/05/2011,51,,,,,,,,
1,1013.0,1,32.582455744999386,35.38566257664439,10/05/2011,51,,,,,,,,
1,1014.0,1,32.58246088383292,35.38553818906215,10/05/2011,51,,,,,,,,
1,1015.0,1,32.582457318178804,35.38538438857603,10/05/2011,51,,,,,,,,
