image,Point_ID,Aleket_cnt,lat,long,date,Days_Before_Sample,ndvi,ndvi_std,gndvi,green_red_ratio,ndre,entropy,green,homogeneity,asm
1,2,0,33.12394143,35.63256134,01/05/2025,60,0.2754513994855691,0.026113124797781294,0.35383032196852454,0.8407681547109164,0.21600295817360218,4.063461982762677,689.3333333333334,0.33616509620983365,0.13975694444444442
1,3,0,33.12373095,35.632552255,01/05/2025,60,0.4160964602439016,0.024791409508743933,0.46637096169913345,0.8830395026343465,0.31431552749423597,4.218636587256565,986.1111111111111,0.3567967571644043,0.1267361111111111
1,4,1,33.12352722,35.6325246,01/05/2025,60,0.3962222911413232,0.018408120651682274,0.4495263284350238,0.8792014597716606,0.30521654589795255,4.0519664814404495,991.5555555555555,0.19206870898047368,0.12847222222222224
1,5,0,33.123319267,35.63250203,01/05/2025,60,0.39935832738582366,0.02846863593743475,0.4547198931850373,0.8739057049091599,0.30393679521832917,4.017881053123411,998.1111111111111,0.4857843137254902,0.1640625
1,6,0,33.123100337,35.632472735,01/05/2025,60,0.4145135591520013,0.024747740549675813,0.464250384024239,0.8844927036703132,0.3149833009255507,4.393970462159743,991.1111111111111,0.34534313725490196,0.13368055555555555
1,7,0,33.122890518,35.632451943,01/05/2025,60,0.3986636575944513,0.023950975754649124,0.4483681729652809,0.8864591205857296,0.29542229954126675,4.61318744001086,1021.0,0.3349264705882353,0.11458333333333334
1,8,0,33.12267752,35.632427623,01/05/2025,60,0.4072664771067857,0.02967258246401631,0.46036982487474887,0.8777677868009204,0.31586963540975443,5.048533209849189,1013.4444444444445,0.2192231258407729,0.10763888888888891
1,9,0,33.122469337,35.632401753,01/05/2025,60,0.37981272748246586,0.01680053554871164,0.432645581523091,0.881518572875505,0.28796650005624974,4.180386658535499,1052.111111111111,0.3469362745098039,0.1293402777777778
1,10,0,33.12225662,35.632386898,01/05/2025,60,0.388753650442543,0.023916160828213816,0.44500661580426293,0.8742733963659856,0.2961383866274081,3.8127913589880817,1032.888888888889,0.43333333333333335,0.1484375
1,11,0,33.122047905,35.63236496,01/05/2025,60,0.3670180657893651,0.01810906485625264,0.441388393245454,0.8371487634806104,0.2760620981083945,4.1595533252021655,1031.3333333333333,0.44186463046757163,0.1371527777777778
1,12,0,33.121840683,35.63233741,01/05/2025,60,0.378904409675681,0.021292485328505667,0.4435606437077265,0.8558259291427763,0.27975524324736883,4.187791358988082,1038.888888888889,0.3825603318250378,0.12239583333333334
1,13,0,33.121621448,35.632316883,01/05/2025,60,0.36869487597617995,0.022643430515501665,0.44238269534864905,0.8384593633389622,0.2842747842319205,4.516207814343077,1031.0,0.3535539215686274,0.13020833333333334
