image,Point_ID,Aleket_cnt,lat,long,date,Days_Before_Sample,ndvi,ndvi_std,gndvi,green_red_ratio,ndre,entropy,green,homogeneity,asm
1,2,0,32.647602502,35.138842197,15/06/2025,56,0.6262118617891614,0.025730942430837293,0.5855397338490074,1.139329321017347,0.41905392014701365,4.846251836004467,982.5555555555555,0.22117269984917043,0.1076388888888889
1,3,0,32.647719158,35.1390577,15/06/2025,56,0.6562333624629352,0.03244143445818455,0.6079909478589097,1.1809581421233595,0.44371361710385443,5.292481250360577,972.7777777777778,0.12389443206416391,0.10416666666666669
1,4,0,32.64782836,35.139267762,15/06/2025,56,0.6024455183914833,0.0319281972487745,0.5725640651915143,1.0980828773930633,0.3946818448891308,5.0901998765158565,957.0,0.15891866041076944,0.10416666666666669
1,5,0,32.647980832,35.13955749,15/06/2025,56,0.633971542976239,0.028727686235383226,0.608286150154944,1.0904192991047865,0.4292958272762532,4.804585169337801,958.8888888888889,0.20001803467190843,0.11111111111111112
1,6,0,32.648103775,35.139770812,15/06/2025,56,0.6593656921370555,0.02937276195219513,0.613155215564128,1.1721839580405657,0.44058071943618615,4.923533209849188,982.8888888888889,0.15367050874403815,0.1232638888888889
1,7,0,32.648217283,35.139984615,15/06/2025,56,0.6813278055755073,0.022827539405618155,0.6234680159734579,1.226777489393096,0.45529606746969153,3.596822633626531,957.8888888888889,0.26580882352941176,0.17708333333333331
1,8,0,32.64833007,35.140190525,15/06/2025,56,0.657236254778182,0.03299263169352753,0.603534493364212,1.198138832071377,0.4410477324852288,5.0901998765158565,995.8888888888889,0.15075200393528942,0.10416666666666669
1,9,0,32.648446268,35.140406447,15/06/2025,56,0.6607862331035281,0.026094386274848037,0.6026650233949782,1.2168538685992043,0.4438474573649076,4.603846168850305,986.0,0.29223227752639525,0.11458333333333334
1,10,0,32.648568533,35.140636675,15/06/2025,56,0.62890307327993,0.03552036885630505,0.5834134697109313,1.1590645597077236,0.41318604629664196,5.292481250360577,993.2222222222222,0.1620292181321593,0.10416666666666669
1,11,0,32.648691153,35.14086065,15/06/2025,56,0.67223290841003,0.02108181217483869,0.61397747311909,1.2219487825026911,0.44895485200505497,4.18805469091572,947.0,0.31375377073906485,0.13020833333333331
1,12,0,32.648814133,35.14108447,15/06/2025,56,0.6698362872437809,0.02962542593873533,0.6113419994675833,1.2235858211695383,0.4435829629608314,4.20082579451809,961.8888888888889,0.2365540030981208,0.125
1,13,0,32.648929442,35.141302448,15/06/2025,56,0.6982742682376019,0.021495411444539925,0.6355249349304634,1.2567798998551782,0.45999486128136446,4.5443721485946105,905.7777777777778,0.3495098039215686,0.1267361111111111
1,14,0,32.649045778,35.141517533,15/06/2025,56,0.665471446456555,0.03098341999730713,0.6053542153505578,1.2285494946297206,0.4384713664956301,5.292481250360577,946.4444444444445,0.214707665810607,0.10416666666666669
1,15,0,32.649166027,35.141743683,15/06/2025,56,0.6209849617879769,0.020880665936004388,0.5901835087996007,1.103346354717017,0.41338451843836616,4.431739399499471,906.2222222222222,0.3694587970323264,0.1189236111111111
