image,Point_ID,Aleket_cnt,lat,long,date,Days_Before_Sample,ndvi,ndvi_std,gndvi,green_red_ratio,ndre,entropy,green,homogeneity,asm
1,1,0,33.146996593,35.634577525,13/05/2025,58,0.3421060484295315,0.03219029106908983,0.42894666360445366,0.8162236446531375,0.2862174588337084,3.7713880242490543,978.8888888888889,0.5099264705882353,0.14756944444444442
1,2,0,33.146804957,35.634864032,13/05/2025,58,0.4208694477506644,0.012138310856859975,0.494720472969243,0.8295041483557459,0.35977619676759404,4.4193721485946105,617.3333333333334,0.2896615149469581,0.12847222222222224
1,3,0,33.146811007,35.635060832,13/05/2025,58,0.42422362939682595,0.010457963850923043,0.48292441410202747,0.8630408648929389,0.33254811959707425,3.9090372348154983,651.7777777777778,0.23676019411240024,0.16145833333333334
1,4,0,33.146825703,35.635282632,13/05/2025,58,0.3945409463047802,0.020162381868331358,0.47899029585043224,0.8115031594112634,0.3130173719006197,3.162505605412089,996.1111111111111,0.39807692307692316,0.21180555555555558
1,5,0,33.146830423,35.635476387,13/05/2025,58,0.3857121032979703,0.0389294307423164,0.47080280818671344,0.8120223496855731,0.31439769783775806,3.2174240378112207,1053.5555555555557,0.5958333333333334,0.1840277777777778
1,6,0,33.14683688,35.635660407,13/05/2025,58,0.35120601067916335,0.025141415230791355,0.45584659513856973,0.7792654742340853,0.2823777622860514,3.857157547405643,1076.4444444444443,0.3416666666666667,0.1701388888888889
1,7,0,33.146844043,35.635825235,13/05/2025,58,0.39134775768855257,0.021455017054455332,0.47962366969063264,0.8038658586077753,0.31315373621849507,4.603846168850305,1034.0,0.31617647058823534,0.11458333333333334
1,8,0,33.146848607,35.636011748,13/05/2025,58,0.4003840945872105,0.027531451828166856,0.48837117306422834,0.8032856507788871,0.3256916178744374,4.5745467530885,1058.4444444444443,0.3094192042721455,0.1154513888888889
1,9,0,33.146853437,35.636209137,13/05/2025,58,0.3669790660011249,0.05239045738031967,0.4701236425730386,0.7794967855605139,0.30653993825023484,3.7157380337859163,1084.6666666666667,0.5036764705882353,0.1527777777777778
1,10,0,33.146859525,35.636397615,13/05/2025,58,0.37073977518326956,0.018350563917761114,0.4613045920035616,0.8030630464622736,0.3018110458789175,4.393970462159743,1099.111111111111,0.3031401593901594,0.11805555555555555
