image,Point_ID,Aleket_cnt,lat,long,date,Days_Before_Sample,ndvi,ndvi_std,gndvi,green_red_ratio,ndre,entropy,green,homogeneity,asm
1,2,1,33.161904167,35.64655731,27/05/2025,58,0.652096174166633,0.0069655427985394645,0.6609505214638497,0.9696065548655399,0.5074599516627066,4.194366543182522,517.3333333333334,0.23438370844358014,0.13975694444444448
1,3,1,33.161851242,35.646311857,27/05/2025,58,0.6854506013932125,0.007827460109159745,0.6781619583629398,1.028144758305448,0.5133459711561014,4.420507230104883,776.3333333333334,0.33108031674208144,0.12239583333333334
1,4,1,33.161798215,35.64607068,27/05/2025,58,0.7198392782528997,0.003157243402873767,0.697279120091308,1.0949221864965266,0.5491541493660907,2.534479625667783,774.5555555555555,0.6161764705882353,0.2821180555555556
1,5,1,33.161739218,35.645799122,27/05/2025,58,0.6583551604877997,0.013319360540407908,0.6602019891189749,0.9935689912039383,0.5050960489076465,4.8193665431825226,755.8888888888889,0.2640837072201867,0.1154513888888889
1,6,1,33.161683657,35.645553007,27/05/2025,58,0.7162861075371433,0.0063745688131455185,0.6946134847118596,1.0906846729469004,0.5482426784855323,4.098669398093777,773.6666666666666,0.3668080693815988,0.14930555555555555
1,7,1,33.16163386,35.64532035,27/05/2025,58,0.718296811032191,0.004298959593113438,0.7016619474552116,1.0695166790594408,0.5504490390973431,4.10343887700335,770.5555555555555,0.3770833333333334,0.12239583333333334
1,8,1,33.161579802,35.645072175,27/05/2025,58,0.6984756474414273,0.00566877631864808,0.6818145771986012,1.0657641375135862,0.5395064616011223,3.0666188279300868,798.1111111111111,0.5625,0.1953125
1,9,1,33.161522608,35.64481208,27/05/2025,58,0.70154622439382,0.010943115106075004,0.6920924034060884,1.038646033767751,0.5401445014812384,3.793093107165021,794.5555555555555,0.43236236802413275,0.15190972222222224
1,10,1,33.161467852,35.644562685,27/05/2025,58,0.7016111097277034,0.007945911152815803,0.6771716470482192,1.098003134837304,0.543871229707896,4.332141085934338,836.2222222222222,0.3706636500754148,0.12239583333333334
1,11,1,33.161407923,35.644284105,27/05/2025,58,0.6393492988504713,0.015131781436439899,0.6373029147685947,1.0080870777214115,0.48398124271636395,4.412912897259044,832.7777777777778,0.401943714076067,0.15538194444444445
1,12,1,33.161350028,35.644022393,27/05/2025,58,0.7044290960764176,0.0023737273286732782,0.6803396229964511,1.0970822669955858,0.5439124925115116,4.6811275426950285,836.8888888888889,0.25296945701357465,0.11458333333333334
1,13,2,33.161296493,35.643780253,27/05/2025,58,0.7008739336645021,0.004822593087648395,0.6834536477063206,1.0693495143093195,0.537368914618383,4.18643861802411,840.1111111111111,0.3298303167420814,0.12239583333333333
1,14,2,33.161295503,35.64377286,27/05/2025,58,0.7008739336645021,0.004822593087648395,0.6834536477063206,1.0693495143093195,0.537368914618383,4.18643861802411,840.1111111111111,0.3298303167420814,0.12239583333333333
1,15,2,33.161237957,35.64351069,27/05/2025,58,0.6888835795063544,0.00992979401279922,0.675142385618097,1.053196634669424,0.53020158927969,4.776828126933222,859.7777777777778,0.2757999025125998,0.1154513888888889
1,16,2,33.161181847,35.643255147,27/05/2025,58,0.683493150546222,0.0024882928775736488,0.6718393861511686,1.044164504046603,0.5233094251688066,2.607971801848314,859.4444444444445,0.6541666666666667,0.2170138888888889
1,17,2,33.161125505,35.643000462,27/05/2025,58,0.6885266247354073,0.00597412008524299,0.6770428289663399,1.0440286358276174,0.527313974465186,3.8486914649771697,845.4444444444445,0.39395739064856716,0.13368055555555555
1,18,2,33.161070167,35.642742588,27/05/2025,58,0.6578965831221153,0.0204114595326146,0.6543914069896861,1.013709700316674,0.5024000639283246,4.596251836004466,850.4444444444445,0.17498858587093877,0.11805555555555555
1,19,1,33.161016097,35.642499303,27/05/2025,58,0.697777016836333,0.010820851120014763,0.6787266250948771,1.07660869703872,0.5325730503820547,2.061303984200316,841.5555555555555,0.71875,0.3628472222222222
1,20,1,33.160961333,35.642243133,27/05/2025,58,0.7033278195010831,0.0048500130605196624,0.6864576268398609,1.0679066312264016,0.5336537357771175,3.29780885933532,832.1111111111111,0.56875,0.1753472222222222
