"FID_","x","y","_cm","_cm_1","Q","SAT","HDOP","Elevation","cm_110msim","cm_50msim"
,35.249349,32.626720,149.923000,112.080000,8.000000,7.000000,1.300000,60.508000,1.498999,1.121000
,35.249339,32.626706,149.845000,112.198000,8.000000,7.000000,1.300000,60.326000,1.498000,1.121999
,35.249330,32.626690,148.087000,110.205000,8.000000,7.000000,1.300000,60.365000,1.480999,1.101999
,35.249319,32.626673,157.657000,122.080000,8.000000,7.000000,1.400000,60.013000,1.577000,1.220999
,35.249311,32.626659,145.314000,110.323000,8.000000,7.000000,1.500000,60.743000,1.452999,1.103000
,35.249300,32.626641,138.556000,102.823000,8.000000,7.000000,1.400000,60.646000,1.386000,1.027999
,35.249290,32.626626,141.720000,109.776000,8.000000,7.000000,1.400000,60.697000,1.417000,1.098000
,35.249280,32.626606,150.235000,116.494000,8.000000,7.000000,1.400000,61.090000,1.501999,1.164999
,35.249267,32.626587,147.501000,112.744000,8.000000,7.000000,1.300000,61.174000,1.475000,1.126999
,35.249255,32.626565,145.001000,109.268000,8.000000,7.000000,1.300000,61.142000,1.450000,1.093000
,35.249243,32.626545,144.376000,109.229000,8.000000,7.000000,1.300000,61.437000,1.444000,1.092000
,35.249230,32.626523,147.657000,112.041000,8.000000,7.000000,1.300000,61.220000,1.476999,1.120000
,35.249217,32.626503,146.407000,108.487000,8.000000,7.000000,1.300000,61.316000,1.463999,1.085000
,35.249204,32.626481,147.189000,109.854000,8.000000,7.000000,1.300000,61.219000,1.472000,1.098999
,35.249192,32.626458,145.509000,109.268000,8.000000,7.000000,1.200000,60.823000,1.455000,1.093000
,35.249179,32.626436,145.118000,108.369000,8.000000,7.000000,1.200000,60.255000,1.450999,1.083999
,35.249168,32.626416,146.251000,112.393000,8.000000,7.000000,1.200000,60.963000,1.463000,1.123999
,35.249157,32.626394,149.493000,113.643000,8.000000,7.000000,1.200000,60.941000,1.495000,1.136000
,35.249143,32.626374,147.306000,111.494000,8.000000,7.000000,1.200000,60.696000,1.473000,1.115000
,35.249130,32.626350,148.985000,111.573000,8.000000,7.000000,1.200000,60.620000,1.490000,1.116000
,35.249118,32.626329,151.642000,114.424000,8.000000,7.000000,1.200000,60.739000,1.516000,1.144000
,35.249107,32.626309,149.962000,113.096000,8.000000,7.000000,1.200000,60.524000,1.500000,1.131000
,35.249096,32.626293,149.845000,112.432000,8.000000,7.000000,1.300000,60.424000,1.498000,1.123999
,35.249084,32.626274,147.228000,110.635000,8.000000,7.000000,1.300000,60.374000,1.472000,1.105999
,35.249074,32.626258,148.087000,113.604000,8.000000,7.000000,1.300000,60.167000,1.480999,1.136000
,35.249066,32.626244,146.446000,111.573000,8.000000,7.000000,1.400000,60.564000,1.463999,1.116000
,35.249056,32.626229,145.392000,109.229000,8.000000,7.000000,1.400000,60.363000,1.453999,1.092000
,35.249046,32.626213,144.454000,108.408000,8.000000,7.000000,1.400000,60.685000,1.445000,1.083999
,35.249035,32.626195,142.931000,107.510000,8.000000,7.000000,1.400000,60.482000,1.429000,1.075000
,35.249023,32.626177,146.915000,111.455000,8.000000,7.000000,1.300000,60.260000,1.468999,1.115000
,35.249012,32.626159,148.009000,109.932000,8.000000,7.000000,1.400000,60.274000,1.480000,1.098999
,35.248997,32.626142,150.860000,113.955000,8.000000,7.000000,1.400000,60.127000,1.508999,1.139999
,35.248983,32.626126,149.728000,116.260000,8.000000,7.000000,1.300000,60.027000,1.496999,1.162999
,35.248967,32.626108,141.564000,108.330000,8.000000,7.000000,1.300000,59.902000,1.416000,1.082999
,35.248956,32.626089,139.767000,106.065000,8.000000,7.000000,1.300000,60.037000,1.398000,1.060999
,35.248945,32.626068,137.970000,109.073000,8.000000,7.000000,1.300000,59.798000,1.379999,1.090999
,35.248934,32.626046,139.181000,109.346000,8.000000,7.000000,1.300000,59.543000,1.391999,1.093000
,35.248927,32.626028,141.642000,109.307000,8.000000,7.000000,1.200000,59.871000,1.416000,1.093000
,35.248916,32.626010,141.642000,110.869000,8.000000,7.000000,1.200000,59.966000,1.416000,1.108999
,35.248904,32.625988,138.946000,107.823000,8.000000,7.000000,1.200000,59.971000,1.389000,1.077999
,35.248896,32.625964,138.868000,108.565000,8.000000,7.000000,1.200000,60.000000,1.389000,1.085999
,35.248884,32.625935,144.923000,110.010000,8.000000,7.000000,1.200000,59.610000,1.449000,1.100000
,35.248870,32.625911,145.431000,110.362000,8.000000,7.000000,1.200000,59.482000,1.453999,1.103999
,35.248857,32.625892,144.337000,108.916000,8.000000,7.000000,1.200000,59.634000,1.442999,1.088999
,35.248844,32.625870,143.946000,108.916000,8.000000,7.000000,1.200000,59.550000,1.439000,1.088999
,35.248830,32.625847,139.884000,107.744000,8.000000,7.000000,1.200000,59.502000,1.399000,1.077000
,35.248817,32.625829,138.087000,104.932000,8.000000,7.000000,1.200000,60.145000,1.381000,1.049000
,35.248804,32.625807,144.689000,109.815000,8.000000,7.000000,1.300000,59.680000,1.447000,1.098000
,35.248791,32.625786,147.032000,111.065000,8.000000,7.000000,1.300000,59.739000,1.470000,1.110999
,35.248778,32.625763,140.275000,104.971000,8.000000,7.000000,1.300000,59.842000,1.402999,1.049999
,35.248767,32.625743,141.798000,107.198000,8.000000,7.000000,1.200000,59.881000,1.417999,1.072000
,35.248755,32.625723,136.915000,101.455000,8.000000,7.000000,1.200000,59.774000,1.368999,1.014999
,35.248742,32.625702,136.876000,103.408000,8.000000,7.000000,1.200000,59.486000,1.368999,1.034000
,35.248728,32.625679,138.009000,104.854000,8.000000,7.000000,1.200000,59.490000,1.379999,1.049000
,35.248714,32.625656,146.056000,108.291000,8.000000,7.000000,1.200000,59.253000,1.460999,1.082999
,35.248700,32.625633,143.087000,107.119000,8.000000,7.000000,1.300000,59.392000,1.430999,1.070999
,35.248687,32.625611,145.665000,109.854000,8.000000,7.000000,1.300000,59.345000,1.457000,1.098999
,35.248672,32.625589,144.728000,109.307000,8.000000,7.000000,1.400000,59.300000,1.447000,1.093000
,35.248658,32.625568,144.103000,108.252000,8.000000,7.000000,1.500000,59.322000,1.440999,1.082999
,35.248644,32.625545,146.993000,110.869000,8.000000,7.000000,1.400000,59.367000,1.470000,1.108999
,35.248630,32.625522,148.673000,110.635000,8.000000,7.000000,1.500000,59.303000,1.486999,1.105999
,35.248617,32.625501,148.360000,111.065000,8.000000,7.000000,1.500000,59.183000,1.483999,1.110999
,35.248604,32.625479,144.415000,107.080000,8.000000,7.000000,1.600000,59.177000,1.444000,1.070999
,35.248592,32.625459,145.353000,109.268000,8.000000,7.000000,1.600000,59.210000,1.453999,1.093000
,35.248580,32.625440,142.228000,107.315000,8.000000,7.000000,1.600000,59.231000,1.422000,1.072999
,35.248567,32.625418,138.673000,103.487000,8.000000,7.000000,1.600000,59.072000,1.386999,1.034999
,35.248555,32.625399,140.665000,106.690000,8.000000,7.000000,1.600000,58.971000,1.406999,1.067000
,35.248543,32.625377,143.790000,107.666000,8.000000,7.000000,1.500000,58.935000,1.437999,1.077000
,35.248531,32.625355,150.939000,117.198000,8.000000,7.000000,1.500000,58.842000,1.508999,1.172000
,35.248519,32.625333,151.954000,117.510000,8.000000,7.000000,1.500000,59.122000,1.519999,1.174999
,35.248507,32.625312,154.650000,121.533000,8.000000,7.000000,1.400000,59.241000,1.546000,1.215000
,35.248493,32.625289,157.032000,121.768000,8.000000,7.000000,1.400000,59.183000,1.570000,1.218000
,35.248481,32.625268,147.775000,113.174000,8.000000,7.000000,1.400000,59.040000,1.478000,1.131999
,35.248469,32.625246,141.212000,105.791000,8.000000,7.000000,1.300000,58.995000,1.411999,1.057999
,35.248456,32.625226,143.907000,107.315000,8.000000,7.000000,1.300000,58.771000,1.439000,1.072999
,35.248441,32.625205,146.837000,110.244000,8.000000,7.000000,1.300000,58.429000,1.468000,1.101999
,35.248430,32.625185,146.056000,109.190000,8.000000,7.000000,1.300000,58.660000,1.460999,1.092000
,35.248417,32.625166,146.056000,109.658000,8.000000,7.000000,1.300000,58.621000,1.460999,1.097000
,35.248405,32.625149,149.103000,112.393000,8.000000,7.000000,1.300000,58.583000,1.491000,1.123999
,35.248394,32.625130,144.025000,109.698000,8.000000,7.000000,1.300000,58.599000,1.440000,1.097000
,35.248383,32.625112,147.540000,110.869000,8.000000,7.000000,1.300000,58.385000,1.475000,1.108999
,35.248372,32.625093,148.946000,111.299000,8.000000,7.000000,1.200000,58.449000,1.488999,1.113000
,35.248361,32.625071,152.267000,114.190000,8.000000,7.000000,1.200000,58.296000,1.523000,1.141999
,35.248349,32.625052,144.806000,108.018000,8.000000,7.000000,1.200000,58.255000,1.447999,1.080000
,35.248336,32.625032,144.454000,108.643000,8.000000,7.000000,1.200000,58.220000,1.445000,1.085999
