Id,image1,image2,image3,image4,image5,image6,image7,image8
100609001.0,1,0,0,0,0,0,0,0
100609002.0,1,0,0,0,0,0,0,0
100609003.0,1,0,0,0,0,0,0,0
100609004.0,1,0,0,0,0,0,0,0
100609005.0,1,0,0,0,0,0,0,0
100609006.0,1,0,0,0,0,0,0,0
100609007.0,1,0,0,0,0,0,0,0
100609008.0,1,0,0,0,0,0,0,0
100609009.0,1,0,0,0,0,0,0,0
100609010.0,1,0,0,0,0,0,0,0
100609011.0,1,0,0,0,0,0,0,0
100609012.0,1,0,0,0,0,0,0,0
100609013.0,1,0,0,0,0,0,0,0
100609014.0,1,0,0,0,0,0,0,0
100609015.0,1,0,0,0,0,0,0,0
100609016.0,1,0,0,0,0,0,0,0
100609017.0,1,0,0,0,0,0,0,0
100609018.0,1,0,0,0,0,0,0,0
100609019.0,1,0,0,0,0,0,0,0
100609020.0,1,0,0,0,0,0,0,0
100609021.0,1,0,0,0,0,0,0,0
100609022.0,1,0,0,0,0,0,0,0
100609023.0,1,0,0,0,0,0,0,0
100609024.0,1,0,0,0,0,0,0,0
100609025.0,1,0,0,0,0,0,0,0
100609026.0,1,0,0,0,0,0,0,0
100609027.0,1,0,0,0,0,0,0,0
100609028.0,1,0,0,0,0,0,0,0
100609029.0,1,0,0,0,0,0,0,0
100609030.0,1,0,0,0,0,0,0,0
100609031.0,1,0,0,0,0,0,0,0
100609032.0,1,0,0,0,0,0,0,0
100609033.0,1,0,0,0,0,0,0,0
100609034.0,1,0,0,0,0,0,0,0
100609035.0,1,0,0,0,0,0,0,0
100609036.0,1,0,0,0,0,0,0,0
100609037.0,1,0,0,0,0,0,0,0
100609038.0,1,0,0,0,0,0,0,0
100609039.0,1,0,0,0,0,0,0,0
100609040.0,1,0,0,0,0,0,0,0
100609041.0,1,0,0,0,0,0,0,0
100609042.0,1,0,0,0,0,0,0,0
100609043.0,1,0,0,0,0,0,0,0
100609044.0,1,0,0,0,0,0,0,0
100609045.0,1,0,0,0,0,0,0,0
100609046.0,1,0,0,0,0,0,0,0
100609047.0,1,0,0,0,0,0,0,0
100609048.0,1,0,0,0,0,0,0,0
100609049.0,1,0,0,0,0,0,0,0
100609050.0,1,0,0,0,0,0,0,0
100609051.0,1,0,0,0,0,0,0,0
100609052.0,1,0,0,0,0,0,0,0
100609053.0,1,0,0,0,0,0,0,0
100609054.0,1,0,0,0,0,0,0,0
100609055.0,1,0,0,0,0,0,0,0
100609056.0,1,0,0,0,0,0,0,0
100609057.0,1,0,0,0,0,0,0,0
100609058.0,1,0,0,0,0,0,0,0
100609059.0,1,0,0,0,0,0,0,0
100609060.0,1,0,0,0,0,0,0,0
100609061.0,1,0,0,0,0,0,0,0
100609062.0,1,0,0,0,0,0,0,0
100609063.0,1,0,0,0,0,0,0,0
100609064.0,1,0,0,0,0,0,0,0
100609065.0,1,0,0,0,0,0,0,0
100609066.0,1,0,0,0,0,0,0,0
100609067.0,1,0,0,0,0,0,0,0
100609068.0,1,0,0,0,0,0,0,0
100609069.0,1,0,0,0,0,0,0,0
100609070.0,1,0,0,0,0,0,0,0
100609071.0,1,0,0,0,0,0,0,0
100609072.0,1,0,0,0,0,0,0,0
100609073.0,1,0,0,0,0,0,0,0
100609074.0,1,0,0,0,0,0,0,0
100609075.0,1,0,0,0,0,0,0,0
100609076.0,1,0,0,0,0,0,0,0
100609077.0,1,0,0,0,0,0,0,0
100609078.0,1,0,0,0,0,0,0,0
100609079.0,1,0,0,0,0,0,0,0
100609080.0,1,0,0,0,0,0,0,0
100609081.0,1,0,0,0,0,0,0,0
100609082.0,1,0,0,0,0,0,0,0
100609083.0,1,0,0,0,0,0,0,0
100609084.0,1,0,0,0,0,0,0,0
100609085.0,1,0,0,0,0,0,0,0
100609086.0,1,0,0,0,0,0,0,0
100609087.0,1,0,0,0,0,0,0,0
100609088.0,1,0,0,0,0,0,0,0
100609089.0,1,0,0,0,0,0,0,0
100609090.0,1,0,0,0,0,0,0,0
100609091.0,1,0,0,0,0,0,0,0
100609092.0,1,0,0,0,0,0,0,0
100609093.0,1,0,0,0,0,0,0,0
100609094.0,1,0,0,0,0,0,0,0
100609095.0,1,0,0,0,0,0,0,0
