Id,image1
100609001.0,16/04/2010
100609002.0,16/04/2010
100609003.0,16/04/2010
100609004.0,16/04/2010
100609005.0,16/04/2010
100609006.0,16/04/2010
100609007.0,16/04/2010
100609008.0,16/04/2010
100609009.0,16/04/2010
100609010.0,16/04/2010
100609011.0,16/04/2010
100609012.0,16/04/2010
100609013.0,16/04/2010
100609014.0,16/04/2010
100609015.0,16/04/2010
100609016.0,16/04/2010
100609017.0,16/04/2010
100609018.0,16/04/2010
100609019.0,16/04/2010
100609020.0,16/04/2010
100609021.0,16/04/2010
100609022.0,16/04/2010
100609023.0,16/04/2010
100609024.0,16/04/2010
100609025.0,16/04/2010
100609026.0,16/04/2010
100609027.0,16/04/2010
100609028.0,16/04/2010
100609029.0,16/04/2010
100609030.0,16/04/2010
100609031.0,16/04/2010
100609032.0,16/04/2010
100609033.0,16/04/2010
100609034.0,16/04/2010
100609035.0,16/04/2010
100609036.0,16/04/2010
100609037.0,16/04/2010
100609038.0,16/04/2010
100609039.0,16/04/2010
100609040.0,16/04/2010
100609041.0,16/04/2010
100609042.0,16/04/2010
100609043.0,16/04/2010
100609044.0,16/04/2010
100609045.0,16/04/2010
100609046.0,16/04/2010
100609047.0,16/04/2010
100609048.0,16/04/2010
100609049.0,16/04/2010
100609050.0,16/04/2010
100609051.0,16/04/2010
100609052.0,16/04/2010
100609053.0,16/04/2010
100609054.0,16/04/2010
100609055.0,16/04/2010
100609056.0,16/04/2010
100609057.0,16/04/2010
100609058.0,16/04/2010
100609059.0,16/04/2010
100609060.0,16/04/2010
100609061.0,16/04/2010
100609062.0,16/04/2010
100609063.0,16/04/2010
100609064.0,16/04/2010
100609065.0,16/04/2010
100609066.0,16/04/2010
100609067.0,16/04/2010
100609068.0,16/04/2010
100609069.0,16/04/2010
100609070.0,16/04/2010
100609071.0,16/04/2010
100609072.0,16/04/2010
100609073.0,16/04/2010
100609074.0,16/04/2010
100609075.0,16/04/2010
100609076.0,16/04/2010
100609077.0,16/04/2010
100609078.0,16/04/2010
100609079.0,16/04/2010
100609080.0,16/04/2010
100609081.0,16/04/2010
100609082.0,16/04/2010
100609083.0,16/04/2010
100609084.0,16/04/2010
100609085.0,16/04/2010
100609086.0,16/04/2010
100609087.0,16/04/2010
100609088.0,16/04/2010
100609089.0,16/04/2010
100609090.0,16/04/2010
100609091.0,16/04/2010
100609092.0,16/04/2010
100609093.0,16/04/2010
100609094.0,16/04/2010
100609095.0,16/04/2010
100609096.0,16/04/2010
100609097.0,16/04/2010
100609098.0,16/04/2010
100609099.0,16/04/2010
100609100.0,16/04/2010
100609101.0,16/04/2010
100609102.0,16/04/2010
100609103.0,16/04/2010
100609104.0,16/04/2010
100609105.0,16/04/2010
100609106.0,16/04/2010
100609107.0,16/04/2010
100609108.0,16/04/2010
100609109.0,16/04/2010
100609110.0,16/04/2010
100609111.0,16/04/2010
100609112.0,16/04/2010
100609113.0,16/04/2010
100609114.0,16/04/2010
100609115.0,16/04/2010
100609116.0,16/04/2010
100609117.0,16/04/2010
100609118.0,16/04/2010
100609119.0,16/04/2010
100609120.0,16/04/2010
100609121.0,16/04/2010
100609122.0,16/04/2010
100609123.0,16/04/2010
100609124.0,16/04/2010
100609125.0,16/04/2010
100609126.0,16/04/2010
100609127.0,16/04/2010
100609128.0,16/04/2010
100609129.0,16/04/2010
100609130.0,16/04/2010
100609131.0,16/04/2010
100609132.0,16/04/2010
100609133.0,16/04/2010
100609134.0,16/04/2010
100609135.0,16/04/2010
100609136.0,16/04/2010
100609137.0,16/04/2010
100609138.0,16/04/2010
100609139.0,16/04/2010
100609140.0,16/04/2010
100609141.0,16/04/2010
100609142.0,16/04/2010
100609143.0,16/04/2010
100609144.0,16/04/2010
100609145.0,16/04/2010
100609146.0,16/04/2010
100609147.0,16/04/2010
100609148.0,16/04/2010
100609149.0,16/04/2010
100609150.0,16/04/2010
100609151.0,16/04/2010
100609152.0,16/04/2010
100609153.0,16/04/2010
100609154.0,16/04/2010
100609155.0,16/04/2010
100609156.0,16/04/2010
100609157.0,16/04/2010
100609158.0,16/04/2010
100609159.0,16/04/2010
100609160.0,16/04/2010
100609161.0,16/04/2010
100609162.0,16/04/2010
100609163.0,16/04/2010
100609164.0,16/04/2010
100609165.0,16/04/2010
100609166.0,16/04/2010
100609167.0,16/04/2010
100609168.0,16/04/2010
100609169.0,16/04/2010
100609170.0,16/04/2010
100609171.0,16/04/2010
100609172.0,16/04/2010
100609173.0,16/04/2010
100609174.0,16/04/2010
100609175.0,16/04/2010
100609176.0,16/04/2010
100609177.0,16/04/2010
100609178.0,16/04/2010
100609179.0,16/04/2010
100609180.0,16/04/2010
100609181.0,16/04/2010
100609182.0,16/04/2010
100609183.0,16/04/2010
100609184.0,16/04/2010
100609185.0,16/04/2010
100609186.0,16/04/2010
100609187.0,16/04/2010
100609188.0,16/04/2010
100609189.0,16/04/2010
100609190.0,16/04/2010
100609191.0,16/04/2010
100609192.0,16/04/2010
100609193.0,16/04/2010
100609194.0,16/04/2010
100609195.0,16/04/2010
100609196.0,16/04/2010
100609197.0,16/04/2010
100609198.0,16/04/2010
100609199.0,16/04/2010
100609200.0,16/04/2010
100609201.0,16/04/2010
100609202.0,16/04/2010
100609203.0,16/04/2010
100609204.0,16/04/2010
100609205.0,16/04/2010
100609206.0,16/04/2010
100609207.0,16/04/2010
100609208.0,16/04/2010
100609209.0,16/04/2010
100609210.0,16/04/2010
100609211.0,16/04/2010
100609212.0,16/04/2010
100609213.0,16/04/2010
100609214.0,16/04/2010
100609215.0,16/04/2010
100609216.0,16/04/2010
100609217.0,16/04/2010
100609218.0,16/04/2010
100609219.0,16/04/2010
100609220.0,16/04/2010
100609221.0,16/04/2010
100609222.0,16/04/2010
100609223.0,16/04/2010
100609224.0,16/04/2010
100609225.0,16/04/2010
100609226.0,16/04/2010
100609227.0,16/04/2010
100609228.0,16/04/2010
